mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
133	133	3/4	3/4	4/4	2	1	I(9+64)						D	bIII/V		I(9+64)	I			9+64					M	0	0	0, -1, 1	2, 3	0	0	0	7	0.0	0.0	1.0	0.0
134	134	1/8	1/8	4/4	2	1	vii%7						D	bIII/V		vii%7	vii	%	7						%7	0	0	5, 2, -1, 3		5	5	0	5	0.0	0.0	0.375	0.0
134	134	1/4	1/4	4/4	2	1	I						D	bIII/V		I	I								M	0	0	0, 4, 1		0	0	0	9	0.0	0.0	2.25	0.0
135	135	0	0	4/4	2	1	V+6					I64(b6)/bIII	D	bIII/V		V+6	V	+	6						+	0	0	5, 9, 1		1	5	7	11	0.3888888888888889	1.125	1.875	0.375
136	136	0	0	4/4	2	1	bIII/bIII/V.V(64)					I64	D	bIII/bIII/V		V(64)	V			64					M	0	0	-2, -3, 1		-2	-2	2	13	0.13333333333333333	0.25	1.5625	0.13793103448275862
136	136	1/2	1/2	4/4	2	1	V7						D	bIII/bIII/V		V7	V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	2	13	0.13333333333333333	0.25	1.5625	0.13793103448275862
137	137	0	0	4/4	2	1	I[I(9)}						D	bIII/bIII/V	I	I(9)	I			9				}	M	0	0	-3, 1, -2	-1	-3	-3	0	7	0.0	0.0	1.0	0.0
137	137	1/4	1/4	4/4	2	1	I|PAC						D	bIII/bIII/V		I	I						PAC		M	0	0	-3, 1, -2		-3	-3	0	12	0.0	0.0	2.0	0.0
137	137	3/4	3/4	4/4	2	1	V7/IV{						D	bIII/bIII/V		V7/IV	V		7		IV			{	Mm7	0	0	-3, 1, -2, -5		-3	-3	5	61	0.07575757575757576	0.3125	3.8125	0.07575757575757576
139	139	3/4	3/4	4/4	2	1	V(64)/IV					IV64	D	bIII/bIII/V		V(64)/IV	V			64	IV				M	0	0	-3, -4, 0		-3	-3	9	57	0.13636363636363635	0.5625	3.5625	0.13636363636363635
141	141	3/4	3/4	4/4	2	1	V43/IV/IV					V43/bVII	D	bIII/bIII/V		V43/IV/IV	V		43		IV/IV				Mm7	0	0	-3, -6, -4, 0		-4	-3	5	61	0.07575757575757576	0.3125	3.8125	0.07575757575757576
143	143	3/4	3/4	4/4	2	1	IV64/IV					bVII64	D	bIII/bIII/V		IV64/IV	IV		64		IV				M	0	0	-4, -5, -1		-5	-4	17	49	0.25757575757575757	1.0625	3.0625	0.25757575757575757
145	145	3/4	3/4	4/4	2	1	V7]						D	bIII/bIII/V		V7	V		7			]			Mm7	0	0	-2, 2, -1, -4		-2	-2	24	51	0.32	2.75	5.6875	0.32592592592592595
147	147	3/4	3/4	4/4	2	1	ii						D	bIII/bIII/V		ii	ii								m	0	0	-1, -4, 0		-1	-1	3	21	0.125	0.3125	2.1875	0.125
148	148	3/4	3/4	4/4	2	1	viio						D	bIII/bIII/V		viio	vii	o							o	0	0	2, -1, -4		2	2	0	9	0.0	0.0	0.9375	0.0
149	149	1/8	1/8	4/4	2	1	V						D	bIII/bIII/V		V	V								M	0	0	-2, 2, -1		-2	-2	0	9	0.0	0.0	0.9375	0.0
149	149	1/2	1/2	4/4	2	1	iii						D	bIII/bIII/V		iii	iii								m	0	0	1, -2, 2		1	1	0	9	0.0	0.0	0.9375	0.0
149	149	7/8	7/8	4/4	2	1	I						D	bIII/bIII/V		I	I								M	0	0	-3, 1, -2		-3	-3	0	9	0.0	0.0	0.9375	0.0
150	150	1/4	1/4	4/4	2	1	vi						D	bIII/bIII/V		vi	vi								m	0	0	0, -3, 1		0	0	0	9	0.0	0.0	0.9375	0.0
150	150	5/8	5/8	4/4	2	1	IV						D	bIII/bIII/V		IV	IV								M	0	0	-4, 0, -3		-4	-4	0	9	0.0	0.0	0.9375	0.0
151	151	0	0	4/4	2	1	IVM2						D	bIII/bIII/V		IVM2	IV	M	2						MM7	0	0	1, -4, 0, -3		-4	1	0	24	0.0	0.0	8.25	0.0
152	152	0	0	4/4	2	1	V2/bVII					V2/IV/IV	D	bIII/bIII/V		V2/bVII	V		2		bVII				Mm7	0	0	-6, -4, 0, -3		-4	-6	0	24	0.0	0.0	8.25	0.0
153	153	0	0	4/4	2	1	ii%7						D	bIII/bIII/V		ii%7	ii	%	7						%7	0	0	-1, -4, -7, -3		-1	-1	0	24	0.0	0.0	8.25	0.0
154	154	0	0	4/4	2	1	I.V43|HC}						D	I		V43	V		43				HC	}	Mm7	0	0	4, 1, 3, 7		3	4	1	29	0.03333333333333333	0.041666666666666664	8.083333333333334	0.005128205128205128
155	155	0	0	4/4	2	1	I						D	I		I	I								M	0	0	2, 6, 3		2	2	1	34	0.02857142857142857	0.125	3.5625	0.03389830508474576
156	156	0	0	4/4	2	1	I(+6)						D	I		I(+6)	I			+6					M	0	0	2, 6, 3	5	2	2	1	32	0.030303030303030304	0.125	5.5	0.022222222222222223
157	157	0	0	4/4	2	1	vi7					ii7/V	D	I		vi7	vi		7						mm7	0	0	5, 2, 6, 3		5	5	1	16	0.058823529411764705	0.125	1.75	0.06666666666666667
157	157	1/2	1/2	4/4	2	1	V7(9)/V						D	I		V7(9)/V	V		7	9	V				Mm7	0	0	4, 8, 5, 2	6	4	4	1	15	0.0625	0.125	1.75	0.06666666666666667
158	158	0	0	4/4	2	1	V(4)}						D	I		V(4)	V			4				}	M	0	0	3, 2, 4		3	3	1	9	0.1	0.25	1.875	0.11764705882352941
158	158	1/4	1/4	4/4	2	1	V|HC						D	I		V	V						HC		M	0	0	3, 7, 4		3	3	1	20	0.047619047619047616	0.041666666666666664	2.9583333333333335	0.013888888888888888
159	159	0	0	4/4	2	1	IV						D	I		IV	IV								M	0	0	1, 5, 2		1	1	1	34	0.02857142857142857	0.125	3.5625	0.03389830508474576
160	160	0	0	4/4	2	1	ii7(9)						D	I		ii7(9)	ii		7	9					mm7	0	0	4, 1, 5, 2	6	4	4	1	35	0.027777777777777776	0.125	6.125	0.02
161	161	0	0	4/4	2	1	V7(9)						D	I		V7(9)	V		7	9					Mm7	0	0	3, 7, 4, 1	5	3	3	3	29	0.09375	0.3	3.45	0.08
162	162	0	0	4/4	2	1	I(4)}						D	I		I(4)	I			4				}	M	0	0	2, 1, 3		2	2	1	9	0.1	0.25	1.875	0.11764705882352941
162	162	1/4	1/4	4/4	2	1	I|PAC						D	I		I	I						PAC		M	0	0	2, 6, 3		2	2	1	20	0.047619047619047616	0.041666666666666664	2.9583333333333335	0.013888888888888888
163	163	0	0	4/4	2	1	V[V43/IV{						D	I	V	V43/IV	V		43		IV			{	Mm7	0	0	3, 0, 2, 6		2	3	2	36	0.05263157894736842	0.125	3.25	0.037037037037037035
164	164	0	0	4/4	2	1	IV64(2)						D	I		IV64(2)	IV		64	2					M	0	0	2, 3, 5		1	2	0	7	0.0	0.0	1.25	0.0
164	164	1/4	1/4	4/4	2	1	IV64						D	I		IV64	IV		64						M	0	0	2, 1, 5		1	2	11	13	0.4583333333333333	1.2083333333333333	1.7291666666666667	0.41134751773049644
165	165	0	0	4/4	2	1	V7(+4)						D	I		V7(+4)	V		7	+4					Mm7	0	0	3, 7, 4, 1	2	3	3	2	36	0.05263157894736842	0.125	3.25	0.037037037037037035
166	166	0	0	4/4	2	1	I(9)						D	I		I(9)	I			9					M	0	0	2, 6, 3	4	2	2	0	6	0.0	0.0	1.125	0.0
166	166	1/4	1/4	4/4	2	1	I						D	I		I	I								M	0	0	2, 6, 3		2	2	1	20	0.047619047619047616	0.041666666666666664	2.5208333333333335	0.016260162601626015
167	167	0	0	4/4	2	1	V43/IV						D	I		V43/IV	V		43		IV				Mm7	0	0	3, 0, 2, 6		2	3	2	32	0.058823529411764705	0.125	2.75	0.043478260869565216
168	168	0	0	4/4	2	1	IV64(2)						D	I		IV64(2)	IV		64	2					M	0	0	2, 3, 5		1	2	0	6	0.0	0.0	1.125	0.0
168	168	1/4	1/4	4/4	2	1	IV64						D	I		IV64	IV		64						M	0	0	2, 1, 5		1	2	7	14	0.3333333333333333	0.7916666666666666	1.7708333333333333	0.30894308943089427
169	169	0	0	4/4	2	1	V7(+4)						D	I		V7(+4)	V		7	+4					Mm7	0	0	3, 7, 4, 1	2	3	3	2	32	0.058823529411764705	0.125	2.75	0.043478260869565216
170	170	0	0	4/4	2	1	I(9)						D	I		I(9)	I			9					M	0	0	2, 6, 3	4	2	2	0	6	0.0	0.0	1.125	0.0
170	170	1/4	1/4	4/4	2	1	I						D	I		I	I								M	0	0	2, 6, 3		2	2	0	18	0.0	0.0	2.4375	0.0
171	171	0	0	4/4	2	1	IV64(2)						D	I		IV64(2)	IV		64	2					M	0	0	2, 3, 5		1	2	0	6	0.0	0.0	1.125	0.0
171	171	1/4	1/4	4/4	2	1	IV64						D	I		IV64	IV		64						M	0	0	2, 1, 5		1	2	7	13	0.35	1.0	1.9375	0.3404255319148936
172	172	1/4	1/4	4/4	2	1	I(9)						D	I		I(9)	I			9					M	0	0	2, 6, 3	4	2	2	0	6	0.0	0.0	1.5	0.0
172	172	3/4	3/4	4/4	2	1	I						D	I		I	I								M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	1.5	0.0
173	173	1/4	1/4	4/4	2	1	IV64(2)						D	I		IV64(2)	IV		64	2					M	0	0	2, 3, 5		1	2	0	6	0.0	0.0	1.5	0.0
173	173	3/4	3/4	4/4	2	1	IV64]	0	-9		/		D	I		IV64	IV		64			]			M	0	0	2, 1, 5		1	2	1	3	0.25	0.25	0.75	0.25
174	174	0	0	4/4	2	1	I(4)					IV(9)	D	I		I(4)	I			4					M	0	0	2, 1, 3		2	2	0	36	0.0	0.0	9.0	0.0
179	179	0	0	4/4	2	1	I|PC}						D	I		I	I						PC	}	M	0	0	2, 6, 3		2	2	0	7	0.0	0.0	1.75	0.0
