mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
92	92	1/2	1/2	3/4	2	1	V						e	i		V		V							M	1	1	5, 9, 6		5.0	5.0	0	4	0.0	0.0	0.75	0.0
93	93	0	0	3/4	2	1	ii%43						e	i		ii%43		ii	%	43					%7	1	1	0, 4, 6, 3		6.0	0.0	5	15	0.25	0.625	3.625	0.14705882352941177
95	95	1/4	1/4	3/4	2	1	V(13)						e	i		V(13)		V			13				M	1	1	5, 9, 6	1	5.0	5.0	0	13	0.0	0.0	3.0	0.0
96	96	1/2	1/2	3/4	2	1	V						e	i		V		V							M	1	1	5, 9, 6		5.0	5.0	0	4	0.0	0.0	0.75	0.0
97	97	0	0	3/4	2	1	ii64						e	i		ii64		ii		64					m	1	1	7, 6, 3		6.0	7.0	3	3	0.5	0.5	0.5	0.5
97	97	1/2	1/2	3/4	2	1	V7/V					Fr6	e	i		V7/V		V		7		V			Mm7	1	1	6, 10, 7, 4		6.0	6.0	0	4	0.0	0.0	0.75	0.0
98	98	0	0	3/4	2	1	V						e	i		V		V							M	1	1	5, 9, 6		5.0	5.0	2	8	0.2	0.25	1.5	0.14285714285714285
99	99	0	0	3/4	2	1	ii64						e	i		ii64		ii		64					m	1	1	7, 6, 3		6.0	7.0	3	3	0.5	0.5	0.5	0.5
99	99	1/2	1/2	3/4	2	1	V7/V					Fr6	e	i		V7/V		V		7		V			Mm7	1	1	6, 10, 7, 4		6.0	6.0	0	4	0.0	0.0	0.75	0.0
100	100	0	0	3/4	2	1	V						e	i		V		V							M	1	1	5, 9, 6		5.0	5.0	8	26	0.23529411764705882	1.0	3.75	0.21052631578947367
105	105	0	0	3/4	2	1	iv6						e	i		iv6		iv		6					m	1	1	0, 4, 3		3.0	0.0	0	5	0.0	0.0	3.5	0.0
105	105	1/2	1/2	3/4	2	1	iv6(+b6)					bIIM43	e	i		iv6(+b6)		iv		6	+b6				m	1	1	0, 4, 3	-1	3.0	0.0	0	1	0.0	0.0	0.25	0.0
106	106	0	0	3/4	2	1	V7						e	i		V7		V		7					Mm7	1	1	5, 9, 6, 3		5.0	5.0	1	6	0.14285714285714285	0.375	3.375	0.1
107	107	0	0	3/4	2	1	iv6/VII						e	i		iv6/VII		iv		6		VII			m	1	1	-2, 2, 1		1.0	-2.0	1	6	0.14285714285714285	0.125	3.375	0.03571428571428571
107	107	1/2	1/2	3/4	2	1	iv6(+b6)/VII	-13.3788	5.07101		/	bIIM43/VII	e	i		iv6(+b6)/VII		iv		6	+b6	VII			m	1	1	-2, 2, 1	-3	1.0	-2.0	0	1	0.0	0.0	0.25	0.0
108	108	0	0	3/4	2	1	V7/VII	0.912192	5.5322		/		e	i		V7/VII		V		7		VII			Mm7	1	1	3, 7, 4, 1		3.0	3.0	1	5	0.16666666666666666	0.375	3.0	0.1111111111111111
108	108	1/2	1/2	3/4	2	1	iv7(+6)	-0.912192	3.65203		/		e	i		iv7(+6)		iv		7	+6				mm7	1	1	3, 0, 4, 1	6	3.0	3.0	0	1	0.0	0.0	0.25	0.0
108	108	5/8	5/8	3/4	2	1	iv7						e	i		iv7		iv		7					mm7	1	1	3, 0, 4, 1		3.0	3.0	0	1	0.0	0.0	0.125	0.0
109	109	0	0	3/4	2	1	i|PC}						e	i		i		i					PC	}	m	1	1	4, 1, 5		4.0	4.0	0	28	0.0	0.0	21.0	0.0
113	113	0	0	3/4	2	1	v{						e	i		v		v						{	m	1	1	5, 2, 6		5.0	5.0	3	15	0.16666666666666666	0.625	4.125	0.13157894736842105
115	115	1/4	1/4	3/4	2	1	#viio2(b8)/v						e	i		#viio2(b8)/v		#vii	o	2	b8	v			o7	1	1	1, 10, 7, 4		10.0	1.0	2	6	0.25	0.75	1.5	0.3333333333333333
116	116	1/4	1/4	3/4	2	1	#viio2/v	0.76016	3.50704		/		e	i		#viio2/v		#vii	o	2		v			o7	1	1	1, 10, 7, 4		10.0	1.0	4	20	0.16666666666666666	0.5	5.25	0.08695652173913043
119	119	0	0	3/4	2	1	v}						e	i		v		v						}	m	1	1	5, 2, 6		5.0	5.0	0	12	0.0	0.0	1.5	0.0
121	121	0	0	3/4	2	1	ii43/VII{						e	i		ii43/VII		ii		43		VII		{	mm7	1	1	5, 2, 4, 1		4.0	5.0	0	10	0.0	0.0	3.0	0.0
122	122	1/4	1/4	3/4	2	1	V7/VII						e	i		V7/VII		V		7		VII			Mm7	1	1	3, 7, 4, 1		3.0	3.0	3	9	0.25	0.625	2.125	0.22727272727272727
123	123	1/4	1/4	3/4	2	1	IM43/VII						e	i		IM43/VII		I	M	43		VII			MM7	1	1	3, 7, 2, 6		2.0	3.0	0	10	0.0	0.0	2.75	0.0
124	124	1/4	1/4	3/4	2	1	IVM7/VII						e	i		IVM7/VII		IV	M	7		VII			MM7	1	1	1, 5, 2, 6		1.0	1.0	1	10	0.09090909090909091	0.375	2.5	0.13043478260869565
125	125	1/4	1/4	3/4	2	1	#vii%43(9)/VII						e	i		#vii%43(9)/VII		#vii	%	43	9	VII			%7	1	1	1, 5, 7, 4	2	7.0	1.0	0	18	0.0	0.0	4.125	0.0
127	127	0	0	3/4	2	1	II					V/V}	e	i		II		II							M	1	1	6, 10, 7		6.0	6.0	1	13	0.07142857142857142	0.125	4.125	0.029411764705882353
129	129	1/4	1/4	3/4	2	1	IIM7	-1.36829	3.5		/	V(#7)/V	e	i		IIM7		II	M	7					MM7	1	1	6, 10, 7, 11		6.0	6.0	0	4	0.0	0.0	0.75	0.0
129	129	1/2	1/2	3/4	2	1	vii%7/II	-10.4902	3.19594		/	vii%7/V/V	e	i		vii%7/II		vii	%	7		II			%7	1	1	11, 8, 5, 9		11.0	11.0	0	4	0.0	0.0	0.75	0.0
130	130	0	0	3/4	2	1	II					V/V	e	i		II		II							M	1	1	6, 10, 7		6.0	6.0	1	3	0.25	0.125	0.625	0.16666666666666666
130	130	1/4	1/4	3/4	2	1	V65/II					V65/V/V	e	i		V65/II		V		65		II			Mm7	1	1	11, 8, 5, 7		7.0	11.0	0	4	0.0	0.0	0.75	0.0
130	130	1/2	1/2	3/4	2	1	IIM7					V(#7)/V	e	i		IIM7		II	M	7					MM7	1	1	6, 10, 7, 11		6.0	6.0	1	4	0.2	0.125	1.375	0.08333333333333333
131	131	1/4	1/4	3/4	2	1	II					V/V	e	i		II		II							M	1	1	6, 10, 7		6.0	6.0	1	12	0.07692307692307693	0.125	3.375	0.03571428571428571
133	133	1/4	1/4	3/4	2	1	ii7						e	i		ii7		ii		7					mm7	1	1	6, 3, 7, 4		6.0	6.0	0	4	0.0	0.0	0.75	0.0
133	133	1/2	1/2	3/4	2	1	#viio7/ii	-1	-6		/		e	i		#viio7/ii		#vii	o	7		ii			o7	1	1	11, 8, 5, 2		11.0	11.0	1	3	0.25	0.125	0.625	0.16666666666666666
134	134	0	0	3/4	2	1	ii						e	i		ii		ii							m	1	1	6, 3, 7		6.0	6.0	1	3	0.25	0.125	0.625	0.16666666666666666
134	134	1/4	1/4	3/4	2	1	V65/ii						e	i		V65/ii		V		65		ii			Mm7	1	1	11, 8, 5, 7		7.0	11.0	1	3	0.25	0.125	0.625	0.16666666666666666
134	134	1/2	1/2	3/4	2	1	ii7						e	i		ii7		ii		7					mm7	1	1	6, 3, 7, 4		6.0	6.0	1	3	0.25	0.125	0.625	0.16666666666666666
135	135	0	0	3/4	2	1	ii						e	i		ii		ii							m	1	1	6, 3, 7		6.0	6.0	0	12	0.0	0.0	4.0	0.0
137	137	0	0	3/4	2	1	V65/III						e	i		V65/III		V		65		III			Mm7	1	1	6, 3, 0, 2		2.0	6.0	0	12	0.0	0.0	4.0	0.0
139	139	0	0	3/4	2	1	V43						e	i		V43		V		43					Mm7	1	1	6, 3, 5, 9		5.0	6.0	2	14	0.125	0.0	4.75	0.0
141	141	1/4	1/4	3/4	2	1	Fr6/iv					V43(b5)	e	i		Fr6/iv	Fr	V		43	b5	V/iv			Fr	1	1	-1, 3, 5, 9		5.0	-1.0	1	12	0.07692307692307693	0.0	3.25	0.0
143	143	0	0	3/4	2	1	iv{						e	i		iv		iv						{	m	1	1	3, 0, 4		3.0	3.0	0	11	0.0	0.0	3.0	0.0
