mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
105	105	313	313	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	70	Bb4	4	569
105	105	313	313	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		0	84	C6	6	564
105	105	313	313	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		-3	87	Eb6	6	564
105	105	627/2	627/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		2	86	D6	6	565
105	105	627/2	627/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		-1	89	F6	6	565
105	105	314	314	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	65	F4	4	570
105	105	314	314	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	74	D5	5	570
105	105	314	314	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		0	84	C6	6	566
105	105	314	314	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		-3	87	Eb6	6	566
105	105	629/2	629/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		-2	82	Bb5	5	567
105	105	629/2	629/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		2	86	D6	6	567
106	106	315	315	1.0	0	0	3/4	2	1	1/4		1/4	1		2	50	D3	3	573
106	106	315	315	1.0	0	0	3/4	2	1	1/4		1/4	1		2	62	D4	4	573
106	106	315	315	2.0	0	0	3/4	1	1	1/2		1/2	1		6	78	F#5	5	571
106	106	315	315	2.0	0	0	3/4	1	1	1/2		1/2	1		0	84	C6	6	571
106	106	315	315	2.0	0	0	3/4	1	1	1/2		1/2	1		-3	87	Eb6	6	571
106	106	315	315	2.0	0	0	3/4	1	1	1/2		1/2	1		6	90	F#6	6	571
106	106	316	316	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	574
106	106	316	316	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		6	66	F#4	4	574
106	106	317	317	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	575
106	106	317	317	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	72	C5	5	575
106	106	317	317	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	6	78	F#5	5	572
106	106	317	317	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	0	84	C6	6	572
