mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin
31	31	123/2	123/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	270		articAccentBelow			
31	31	247/4	247/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	271					
31	31	60	60	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	272					
31	31	61	61	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	273					
31	31	61	61	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	274					
32	32	62	62	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	275					
32	32	125/2	125/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	276					
32	32	251/4	251/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	277					
32	32	63	63	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	278		articStaccatoBelow			
32	32	127/2	127/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	279		articAccentBelow			
32	32	62	62	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	280					
32	32	63	63	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	281					
32	32	63	63	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	282					
33	33	64	64	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	283					
33	33	257/4	257/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	284					
33	33	129/2	129/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	285					
33	33	259/4	259/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	286					
33	33	65	65	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	287				11	
33	33	261/4	261/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	288					
33	33	131/2	131/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	289		articAccentBelow			
33	33	263/4	263/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	290					
33	33	64	64	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	291					
33	33	65	65	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	292					
33	33	65	65	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	293					
34	34	66	66	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	294					
34	34	265/4	265/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	295					
34	34	133/2	133/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	296					
34	34	267/4	267/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	297					
34	34	67	67	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	298				12	
34	34	269/4	269/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	299					
34	34	135/2	135/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	300		articAccentBelow			
34	34	271/4	271/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	301					
34	34	66	66	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	302					
34	34	67	67	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	303					
34	34	67	67	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	304					
35	35	68	68	0.0	0	0	StaffText	2/4	1	1	0							dim.		
35	35	68	68	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	305				13	
35	35	273/4	273/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	306					
35	35	137/2	137/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	307					
35	35	275/4	275/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	308					
35	35	69	69	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	309				14	
35	35	277/4	277/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	310					
35	35	139/2	139/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	311					
35	35	279/4	279/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	312					
35	35	68	68	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	313					
36	36	70	70	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	314				15	
36	36	281/4	281/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	315					
36	36	141/2	141/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	316					
36	36	283/4	283/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	317					
36	36	71	71	0.0	1/4	1/4	StaffText	2/4	1	1	0							rit.		
36	36	71	71	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	318				16	
36	36	285/4	285/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	319					
36	36	143/2	143/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	320					
36	36	287/4	287/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	321					
36	36	70	70	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	322					
37	37	72	72	0.0	0	0	Dynamic	2/4	1	1	0					pp				
37	37	72	72	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	323				17	
37	37	72	72	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	324					
38	38	74	74	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	325					
38	38	74	74	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	326					
