mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
33	33	193/2	193/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	255								
33	33	97	97	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	256								
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	257								
33	33	98	98	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	258								
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	259								
34	34	99	99	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	260		articAccentAbove						
34	34	100	100	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	261								
34	34	99	99	0.0	0	0	Spanner	3/4	2	1	0											11	11
34	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	262		articAccentAbove					11	11
34	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	263							11	11
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	264							11	11
35	35	102	102	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	265								
35	35	102	102	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	266								
35	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	267								
35	35	103	103	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	268								
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	269								
35	35	104	104	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	270								
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	271								
35	35	102	102	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	272							11	11
35	35	102	102	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	273							11	11
35	35	205/2	205/2	0.0	1/8	1/8	Spanner	3/4	2	1	0												
35	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	274								
35	35	103	103	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	275								
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	276								
35	35	104	104	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	277								
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	278								
36	36	105	105	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	279		articAccentAbove						
36	36	106	106	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	280								
36	36	105	105	0.0	0	0	Spanner	3/4	2	1	0											12	12
36	36	105	105	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	281		articAccentAbove					12	12
36	36	106	106	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	282							12	12
36	36	107	107	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	283							12	12
37	37	108	108	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	284								
37	37	108	108	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	285								
37	37	217/2	217/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	286								
37	37	109	109	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	287								
37	37	219/2	219/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	288								
37	37	110	110	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	289								
37	37	221/2	221/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	290								
37	37	108	108	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	291							12	12
37	37	108	108	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	292							12	12
37	37	217/2	217/2	0.0	1/8	1/8	Spanner	3/4	2	1	0												
37	37	217/2	217/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	293								
37	37	109	109	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	294								
37	37	219/2	219/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	295								
37	37	110	110	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	296								
37	37	221/2	221/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	297								
38	38	111	111	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	298		articAccentAbove						
38	38	225/2	225/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	299								
38	38	113	113	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	300								
38	38	227/2	227/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	301								
38	38	112	112	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	302								
38	38	111	111	0.0	0	0	Spanner	3/4	2	1	0											13	13
38	38	111	111	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	303		articAccentAbove					13	13
38	38	225/2	225/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	304							13	13
38	38	113	113	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	305							13	13
38	38	227/2	227/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	306							13	13
38	38	112	112	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	307							13	13
39	39	114	114	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	308		articAccentAbove						
39	39	231/2	231/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	309								
39	39	116	116	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	310								
39	39	233/2	233/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	311								
39	39	115	115	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	312								
39	39	114	114	0.0	0	0	Spanner	3/4	2	1	0												
39	39	114	114	0.0	0	0	Spanner	3/4	2	1	0											14	14
39	39	114	114	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	313		articAccentAbove					14	14
39	39	231/2	231/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	314							14	14
39	39	116	116	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	315							14	14
39	39	233/2	233/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	316							14	14
39	39	115	115	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	317							14	14
40	40	117	117	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	318		articAccentAbove						
40	40	118	118	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	319								
40	40	117	117	0.0	0	0	Spanner	3/4	2	1	0												
40	40	117	117	0.0	0	0	Spanner	3/4	2	1	0											15	15
40	40	117	117	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	320		articAccentAbove					15	15
40	40	118	118	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	321							15	15
40	40	119	119	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	322							15	15
41	41	120	120	0.0	0	0	Dynamic	3/4	1	1	0					other-dynamics							
41	41	120	120	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	323								
41	41	483/4	483/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	324								
41	41	485/4	485/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	325								
41	41	487/4	487/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	326								
41	41	489/4	489/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	327								
41	41	491/4	491/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	328								
41	41	120	120	0.0	0	0	Spanner	3/4	2	1	0												
41	41	120	120	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	329								
41	41	241/2	241/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	330								
41	41	121	121	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	331								
41	41	243/2	243/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	332								
41	41	122	122	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	333								
41	41	245/2	245/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	334								
42	42	493/4	493/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	335								
42	42	495/4	495/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	336								
42	42	497/4	497/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	337								
42	42	499/4	499/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	338								
42	42	501/4	501/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	339								
42	42	503/4	503/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	340								
42	42	123	123	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	341		articAccentAbove						
42	42	247/2	247/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	342								
42	42	124	124	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	343								
42	42	249/2	249/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	344								
42	42	125	125	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	345								
42	42	251/2	251/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	346								
43	43	505/4	505/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	347								
43	43	507/4	507/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	348								
43	43	509/4	509/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	349								
43	43	511/4	511/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	350								
43	43	513/4	513/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	351								
43	43	515/4	515/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	352								
43	43	126	126	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	353		articAccentBelow						
43	43	253/2	253/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	354								
43	43	127	127	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	355								
43	43	255/2	255/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	356								
43	43	128	128	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	357								
43	43	257/2	257/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	358								
44	44	129	129	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	359								
44	44	517/4	517/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	360								
44	44	259/2	259/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	361								
44	44	519/4	519/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	362								
44	44	130	130	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	363		articAccentBelow						
44	44	129	129	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	364		articAccentBelow		38				
44	44	131	131	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	365								
45	45	132	132	0.0	0	0	Dynamic	3/4	1	1	0					other-dynamics							
45	45	132	132	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	366								
45	45	531/4	531/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	367								
45	45	533/4	533/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	368								
45	45	535/4	535/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	369								
45	45	537/4	537/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	370								
45	45	539/4	539/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	371								
45	45	132	132	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	372								
45	45	265/2	265/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	373								
45	45	133	133	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	374								
45	45	267/2	267/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	375								
45	45	134	134	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	376								
45	45	269/2	269/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	377								
46	46	541/4	541/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	378								
46	46	543/4	543/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	379								
46	46	545/4	545/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	380								
46	46	547/4	547/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	381								
46	46	549/4	549/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	382								
46	46	551/4	551/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	383								
46	46	135	135	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	384		articAccentAbove						
46	46	271/2	271/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	385								
46	46	136	136	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	386								
46	46	273/2	273/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	387								
46	46	137	137	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	388								
46	46	275/2	275/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	389								
47	47	553/4	553/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	390								
47	47	555/4	555/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	391								
47	47	557/4	557/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	392								
47	47	559/4	559/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	393								
47	47	561/4	561/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	394								
47	47	563/4	563/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	395								
47	47	138	138	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	396		articAccentBelow						
47	47	277/2	277/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	397								
47	47	139	139	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	398								
47	47	279/2	279/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	399								
47	47	140	140	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	400								
47	47	281/2	281/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	401								
48	48	141	141	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	402								
48	48	565/4	565/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	403								
48	48	283/2	283/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	404								
48	48	567/4	567/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	405								
48	48	142	142	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	406		articAccentAbove						
48	48	141	141	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	407		articAccentBelow		39				
48	48	143	143	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	408								
49	49	144	144	0.0	0	0	StaffText	3/4	1	1	0							<i>dim.</i>					
49	49	144	144	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	409								
49	49	577/4	577/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	410								
49	49	289/2	289/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	411								
49	49	579/4	579/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	412								
49	49	145	145	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	413								
49	49	144	144	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	414				40				
49	49	146	146	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	415								
50	50	147	147	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	416								
50	50	589/4	589/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	417								
50	50	295/2	295/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	418								
50	50	591/4	591/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	419								
50	50	148	148	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	420								
50	50	593/4	593/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	421								
50	50	297/2	297/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	422								
50	50	595/4	595/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	423								
50	50	149	149	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	424								
50	50	597/4	597/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	425								
50	50	299/2	299/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	426								
50	50	599/4	599/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	427								
50	50	148	148	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	428				41				
50	50	149	149	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	429				41				
51	51	150	150	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	430								
51	51	601/4	601/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	431								
51	51	301/2	301/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	432								
51	51	603/4	603/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	433								
51	51	151	151	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	434								
51	51	605/4	605/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	435								
51	51	303/2	303/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	436								
51	51	607/4	607/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	437								
51	51	152	152	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	438								
51	51	609/4	609/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	439								
51	51	305/2	305/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	440								
51	51	611/4	611/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	441								
51	51	150	150	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	442				41				
51	51	151	151	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	443				41				
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	444								
52	52	153	153	0.0	0	0	Dynamic	3/4	1	1	0					p							
52	52	153	153	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	445								
52	52	613/4	613/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	446								
52	52	307/2	307/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	447								
52	52	615/4	615/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	448								
52	52	154	154	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	449								
52	52	617/4	617/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	450								
52	52	309/2	309/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	451								
52	52	619/4	619/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	452								
52	52	155	155	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	453								
52	52	621/4	621/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	454								
52	52	311/2	311/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	455								
52	52	623/4	623/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	456								
52	52	307/2	307/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	457				42				
52	52	154	154	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	458				42				
52	52	309/2	309/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	459				42				
52	52	155	155	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	460				42				
52	52	311/2	311/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	461				42				
53	53	156	156	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	462								
53	53	625/4	625/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	463								
53	53	313/2	313/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	464								
53	53	627/4	627/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	465								
53	53	157	157	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	466								
53	53	629/4	629/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	467								
53	53	315/2	315/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	468								
53	53	631/4	631/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	469								
53	53	158	158	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	470								
53	53	633/4	633/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	471								
53	53	317/2	317/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	472								
53	53	635/4	635/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	473								
53	53	156	156	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	474				42				
53	53	313/2	313/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	475								
54	54	159	159	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	476								
54	54	637/4	637/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	477								
54	54	319/2	319/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	478								
54	54	639/4	639/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	479								
54	54	160	160	0.0	1/4	1/4	StaffText	3/4	1	1	0							<i>dim.</i>					
54	54	160	160	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	480								
54	54	641/4	641/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	481								
54	54	321/2	321/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	482								
54	54	643/4	643/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	483								
54	54	161	161	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	484								
54	54	645/4	645/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	485								
54	54	323/2	323/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	486								
54	54	647/4	647/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	487								
54	54	319/2	319/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	488				43				
54	54	160	160	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	489				43				
54	54	321/2	321/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	490				43				
54	54	161	161	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	491								
55	55	162	162	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	492								
55	55	649/4	649/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	493								
55	55	325/2	325/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	494								
55	55	651/4	651/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	495								
55	55	163	163	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	496								
55	55	653/4	653/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	497								
55	55	327/2	327/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	498								
55	55	655/4	655/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	499								
55	55	164	164	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	500								
55	55	657/4	657/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	501								
55	55	329/2	329/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	502								
55	55	659/4	659/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	503								
55	55	325/2	325/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	504				44				
55	55	163	163	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	505				44				
55	55	327/2	327/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	506				44				
55	55	164	164	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	507								
56	56	165	165	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	508								
56	56	661/4	661/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	509								
56	56	331/2	331/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	510								
56	56	663/4	663/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	511								
56	56	166	166	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	512								
56	56	665/4	665/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	513								
56	56	333/2	333/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	514								
56	56	667/4	667/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	515								
56	56	167	167	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	516								
56	56	669/4	669/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	517								
56	56	335/2	335/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	518								
56	56	671/4	671/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	519								
56	56	331/2	331/2	0.0	1/8	1/8	Dynamic	3/4	2	1	0					pp							
56	56	331/2	331/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	520				45				
56	56	166	166	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	521				45				
56	56	333/2	333/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	522				45				
56	56	167	167	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	523								
57	57	168	168	0.0	0	0	StaffText	3/4	1	1	0							<i>poco rit.</i>					
57	57	168	168	0.0	0	0	Spanner	3/4	1	1	0										0		
57	57	168	168	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	524						0		
57	57	673/4	673/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	525						0		
57	57	337/2	337/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	526						0		
57	57	675/4	675/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	527						0		
57	57	169	169	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	528						0		
57	57	677/4	677/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	529						0		
