mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
15	15	229/4	229/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	248									
15	15	115/2	115/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	249									
15	15	231/4	231/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	250									
15	15	58	58	0.0	1/2	1/2	StaffText	4/4	1	1	0							ritard.					
15	15	59	59	0.0	3/4	3/4	Spanner	4/4	1	1	0												2
15	15	59	59	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	251									2
15	15	237/4	237/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	252									2
15	15	119/2	119/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	253									2
15	15	239/4	239/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	254									2
15	15	56	56	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	255			articAccentBelow						2
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	256			articAccentBelow						2
15	15	225/4	225/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	257					59				
15	15	113/2	113/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	258					59				
15	15	227/4	227/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	259					59				
15	15	233/4	233/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	260					60				
15	15	117/2	117/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	261					60				
15	15	235/4	235/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	262					60				
16	16	60	60	0.0	0	0	Spanner	4/4	1	1	0												
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	263			articAccentAbove						
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	264			articAccentAbove						
16	16	61	61	0.0	1/4	1/4	Spanner	4/4	1	2	0											0	
16	16	61	61	0.25	1/4	1/4	Chord	4/4	1	2	1/16	1/16	1	265								0	
16	16	245/4	245/4	0.25	5/16	5/16	Chord	4/4	1	2	1/16	1/16	1	266								0	
16	16	123/2	123/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16	1/16	1	267								0	
16	16	247/4	247/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	268								0	
16	16	63	63	0.25	3/4	3/4	Chord	4/4	1	2	1/16	1/16	1	269								0	
16	16	253/4	253/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16	1/16	1	270								0	
16	16	127/2	127/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	271								0	
16	16	255/4	255/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	272								0	
16	16	241/4	241/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	273					61				
16	16	121/2	121/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	274					61				
16	16	243/4	243/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	275					61				
16	16	249/4	249/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	276					62				
16	16	125/2	125/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	277					62				
16	16	251/4	251/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	278					62				
17	17	64	64	0.0	0	0	StaffText	4/4	1	1	0							dolce					
17	17	64	64	0.0	0	0	StaffText	4/4	1	1	0							a tempo					
17	17	64	64	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	279			articAccentAbove		63				
17	17	259/4	259/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	280					63				
17	17	65	65	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	281					63				
17	17	261/4	261/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	282					63				
17	17	131/2	131/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	283					63				
17	17	263/4	263/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	284					63				
17	17	66	66	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	285					63				
17	17	265/4	265/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	286					63				
17	17	133/2	133/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	287					63				
17	17	267/4	267/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	288					63				
17	17	67	67	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	289					63				
17	17	269/4	269/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	290					63				
17	17	135/2	135/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	291					63				
17	17	271/4	271/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	292									
17	17	64	64	0.0	0	0	Spanner	4/4	1	2	0												
17	17	64	64	0.0	0	0	Spanner	4/4	2	1	0									6	6		
17	17	64	64	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	293					64	6	6		
17	17	257/4	257/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	294					64	6	6		
17	17	129/2	129/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	295					64	6	6		
17	17	259/4	259/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	296						6	6		
17	17	67	67	0.0	3/4	3/4	Spanner	4/4	2	1	0												
17	17	269/4	269/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	297					65				
17	17	135/2	135/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	298					65				
17	17	271/4	271/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	299									
18	18	68	68	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	300			articAccentAbove		66				
18	18	275/4	275/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	301					66				
18	18	69	69	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	302			articAccentAbove		66				
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	303					66				
18	18	70	70	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	304			articAccentAbove		66				
18	18	283/4	283/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	305					66				
18	18	71	71	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	306			articAccentAbove		66				
18	18	287/4	287/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	307									
18	18	273/4	273/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	308					67				
18	18	137/2	137/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	309					67				
18	18	275/4	275/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	310									
18	18	277/4	277/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	311					68				
18	18	139/2	139/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	312					68				
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	313									
18	18	281/4	281/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	314					69				
18	18	141/2	141/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	315					69				
18	18	283/4	283/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	316									
18	18	285/4	285/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	317					70				
18	18	143/2	143/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	318					70				
18	18	287/4	287/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	319									
19	19	72	72	0.0	0	0	StaffText	4/4	1	1	0							cresc. poco a poco					
19	19	72	72	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	320			articAccentAbove		71				
19	19	291/4	291/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	321					71				
19	19	73	73	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	322					71				
19	19	293/4	293/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	323					71				
19	19	147/2	147/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	324					71				
19	19	295/4	295/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	325					71				
19	19	74	74	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	326					71				
19	19	297/4	297/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	327					71				
19	19	149/2	149/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	328					71				
19	19	299/4	299/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	329					71				
19	19	75	75	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	330					71				
19	19	301/4	301/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	331					71				
19	19	151/2	151/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	332					71				
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	333									
19	19	72	72	0.0	0	0	Spanner	4/4	2	1	0									7	7		
19	19	289/4	289/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	334					72	7	7		
19	19	145/2	145/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	335					72	7	7		
19	19	291/4	291/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	336					72	7	7		
19	19	73	73	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	337			articStaccatoAbove			7	7		
19	19	75	75	0.0	3/4	3/4	Spanner	4/4	2	1	0												
19	19	301/4	301/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	338					73				
19	19	151/2	151/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	339					73				
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	340									
20	20	76	76	0.0	0	0	StaffText	4/4	1	1	0							"con moto a poco stretto
tre corde"					
20	20	76	76	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	341			articAccentAbove		74				
20	20	307/4	307/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	342					74				
20	20	77	77	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	343					74				
20	20	309/4	309/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	344					74				
20	20	155/2	155/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	345					74				
20	20	311/4	311/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	346					74				
20	20	78	78	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	347					74				
20	20	313/4	313/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	348					74				
20	20	157/2	157/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	349					74				
20	20	315/4	315/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	350					74				
20	20	79	79	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	351					74				
20	20	317/4	317/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	352					74				
20	20	159/2	159/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	353					74				
20	20	319/4	319/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	354									
20	20	76	76	0.0	0	0	Spanner	4/4	2	1	0									8	8		
20	20	305/4	305/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	355					75	8	8		
20	20	153/2	153/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	356					75	8	8		
20	20	307/4	307/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	357					75	8	8		
20	20	77	77	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	358			articStaccatoAbove			8	8		
20	20	79	79	0.0	3/4	3/4	Spanner	4/4	2	1	0												
20	20	317/4	317/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	359					76				
20	20	159/2	159/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	360					76				
20	20	319/4	319/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	361									
21	21	80	80	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	362	f		articAccentAbove		77				
21	21	323/4	323/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	363					77				
21	21	81	81	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	364					77				
21	21	325/4	325/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	365					77				
21	21	163/2	163/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	366					77				
21	21	327/4	327/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	367					77				
21	21	82	82	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	368					77				
21	21	329/4	329/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	369					77				
21	21	165/2	165/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	370					77				
21	21	331/4	331/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	371					77				
21	21	83	83	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	372					77				
21	21	333/4	333/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	373					77				
21	21	167/2	167/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	374					77				
21	21	335/4	335/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	375									
21	21	80	80	0.0	0	0	Spanner	4/4	2	1	0									9	9		
21	21	321/4	321/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	376					78	9	9		
21	21	161/2	161/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	377					78	9	9		
21	21	323/4	323/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	378					78	9	9		
21	21	81	81	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	379			articStaccatoAbove			9	9		
21	21	83	83	0.0	3/4	3/4	Spanner	4/4	2	1	0												
21	21	333/4	333/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	380					79				
21	21	167/2	167/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	381					79				
21	21	335/4	335/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	382									
22	22	84	84	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	383			articAccentAbove		80				
22	22	339/4	339/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	384					80				
22	22	85	85	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	385			articAccentAbove		80				
22	22	343/4	343/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	386					80				
22	22	86	86	0.0	1/2	1/2	StaffText	4/4	1	1	0							dim.	80				
22	22	86	86	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	387			articAccentAbove		80				
22	22	347/4	347/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	388					80				
22	22	87	87	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	389			articAccentBelow		80				
22	22	351/4	351/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	390					80				
22	22	337/4	337/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	391					81				
22	22	169/2	169/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	392					81				
22	22	339/4	339/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	393									
22	22	345/4	345/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	394					82				
22	22	173/2	173/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	395					82				
22	22	347/4	347/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	396									
23	23	88	88	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	397			articAccentBelow		80				
23	23	355/4	355/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	398					80				
23	23	89	89	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	399			articAccentBelow		80				
23	23	359/4	359/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	400					80				
23	23	90	90	0.0	1/2	1/2	Dynamic	4/4	1	1	0					p			80				
23	23	90	90	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	401			articAccentBelow		80				
23	23	363/4	363/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	402									
23	23	353/4	353/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	403					83				
23	23	177/2	177/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	404					83				
23	23	355/4	355/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	405									
23	23	361/4	361/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	406					84				
23	23	181/2	181/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	407									
23	23	91	91	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	408			articStaccatoBelow						
24	24	92	92	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	409					85				
24	24	371/4	371/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	410					85				
24	24	93	93	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	411			articAccentAbove		85				
24	24	373/4	373/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	412					85				
24	24	187/2	187/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	413			articAccentAbove		85				
24	24	375/4	375/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	414					85				
24	24	94	94	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	415			articAccentAbove		85				
24	24	377/4	377/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	416					85				
24	24	189/2	189/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	417			articAccentAbove		85				
24	24	379/4	379/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	418					85				
24	24	95	95	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	419			articAccentAbove		85				
24	24	381/4	381/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	420					85				
24	24	191/2	191/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	421			articAccentAbove		85				
24	24	383/4	383/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	422									
24	24	92	92	0.0	0	0	Spanner	4/4	2	1	0									10	10		
24	24	369/4	369/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	423					86	10	10		
24	24	185/2	185/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	424					86	10	10		
24	24	371/4	371/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	425						10	10		
25	25	96	96	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	426			articAccentBelow		87				
25	25	387/4	387/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	427									
25	25	97	97	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	428			articAccentBelow		88				
25	25	391/4	391/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	429									
25	25	98	98	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	430			articAccentBelow		89				
25	25	395/4	395/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	431									
25	25	99	99	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	432			articAccentBelow		90				
25	25	399/4	399/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	433									
25	25	96	96	0.0	0	0	Spanner	4/4	2	1	0												
25	25	385/4	385/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	434					91				
25	25	193/2	193/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	435									
25	25	389/4	389/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	436					92				
25	25	195/2	195/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	437									
25	25	393/4	393/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	438					93				
25	25	197/2	197/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	439									
25	25	397/4	397/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	440					94				
25	25	199/2	199/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	441									
26	26	100	100	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	442			articAccentBelow		95				
26	26	403/4	403/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	443					95				
26	26	101	101	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	444					95				
26	26	405/4	405/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	445					95				
26	26	203/2	203/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	446					95				
26	26	407/4	407/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	447									
26	26	102	102	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	448			articAccentBelow		96				
26	26	411/4	411/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	449									
26	26	103	103	0.0	3/4	3/4	Spanner	4/4	1	1	0												3
26	26	103	103	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	450			articAccentBelow		97				3
26	26	415/4	415/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	451									3
26	26	401/4	401/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	452					98				
26	26	201/2	201/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	453					98				
26	26	403/4	403/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	454									
26	26	409/4	409/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	455					99				
26	26	205/2	205/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	456					99				
26	26	411/4	411/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	457									
26	26	413/4	413/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	458					100				
26	26	207/2	207/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	459					100				
26	26	415/4	415/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	460									
27	27	104	104	0.0	0	0	Spanner	4/4	1	1	0												
27	27	105	105	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	461									
27	27	421/4	421/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	462									
27	27	211/2	211/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	463									
27	27	423/4	423/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	464									
27	27	107	107	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	465									
27	27	429/4	429/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	466									
27	27	215/2	215/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	467									
27	27	431/4	431/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	468									
27	27	104	104	4.0	0	0	Chord	4/4	1	2	1	1	1	469			articAccentBelow						
27	27	104	104	0.0	0	0	Spanner	4/4	2	1	0									11	11		
27	27	417/4	417/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	470					101	11	11		
27	27	209/2	209/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	471					101	11	11		
27	27	419/4	419/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	472					101	11	11		
27	27	425/4	425/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	473					102	11	11		
27	27	213/2	213/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	474					102	11	11		
27	27	427/4	427/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	475					102	11	11		
28	28	108	108	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	476			articAccentAbove		103				
28	28	435/4	435/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	477					103				
28	28	109	109	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	478					103				
28	28	437/4	437/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	479					103				
28	28	219/2	219/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	480					103				
28	28	439/4	439/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	481					103				
28	28	110	110	0.0	1/2	1/2	Spanner	4/4	1	1	0								103				4
28	28	110	110	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	482					103				4
28	28	441/4	441/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	483					103				4
28	28	221/2	221/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	484					103				4
28	28	443/4	443/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	485					103				4
28	28	111	111	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	486					103				4
28	28	445/4	445/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	487					103				4
28	28	223/2	223/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	488					103				4
28	28	447/4	447/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	489									4
28	28	108	108	0.0	0	0	Spanner	4/4	2	1	0												
28	28	108	108	0.0	0	0	Spanner	4/4	2	1	0									12	12		
28	28	433/4	433/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	490					104	12	12		
28	28	217/2	217/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	491					104	12	12		
28	28	435/4	435/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	492						12	12		
29	29	112	112	0.0	0	0	Spanner	4/4	1	1	0												
29	29	112	112	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	493			articAccentAbove		105				
29	29	451/4	451/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	494									
29	29	113	113	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	495			articAccentAbove		106				
29	29	455/4	455/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	496									
