mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
26	24	141/2	141/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	237										4			
26	24	71	71	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	238										4			
26	24	72	72	0.0	1/2	1/2	Spanner	3/4	2	1	0																
27	25	73	73	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	239		articAccentBelow											
27	25	75	75	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	240													
27	25	303/4	303/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	241													
27	25	293/4	293/4	0.0	1/16	1/16	Spanner	3/4	2	1	0															1	1
27	25	293/4	293/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	242									1			1	1
27	25	147/2	147/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	243									1			1	1
27	25	295/4	295/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	244									1			1	1
27	25	74	74	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	245									1			1	1
27	25	297/4	297/4	0.0	5/16	5/16	Spanner	3/4	2	1	0												1				
