mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
17	17	129/4	129/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	177		articStaccatoBelow							10				
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	178		articStaccatoBelow							10				
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	179		articStaccatoBelow											
17	17	33	33	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	180									11				
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	181													
17	17	32	32	0.0	0	0	Spanner	2/4	2	1	0																	
17	17	32	32	0.0	0	0	Spanner	2/4	2	1	0														5	5		
17	17	32	32	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	182										5	5		
17	17	129/4	129/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	183		articStaccatoBelow							12	5	5		
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	184		articStaccatoBelow							12	5	5		
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	185		articStaccatoBelow								5	5		
17	17	33	33	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	186										5	5		
17	17	67/2	67/2	0.0	3/8	3/8	Spanner	2/4	2	1	0																	
17	17	33	33	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	187									13				
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	188													
18	18	34	34	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	189		articAccentAbove											
18	18	35	35	0.375	1/4	1/4	Chord	2/4	1	1	3/32		1/16	3/2	190									14				
18	18	283/8	283/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	191													
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	192													
18	18	137/4	137/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	193		articStaccatoBelow							15				
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	194		articStaccatoBelow							15				
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	195		articStaccatoBelow											
18	18	35	35	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	196													
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	197													
18	18	34	34	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	198													
18	18	137/4	137/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	199		articStaccatoBelow							16				
18	18	69/2	69/2	0.0	1/8	1/8	StaffText	2/4	2	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>cresc.</i>"						16				
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	200		articStaccatoBelow							16				
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	201		articStaccatoBelow											
18	18	35	35	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	202													
18	18	35	35	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	203									17				
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	204													
19	19	36	36	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""8""/><font face=""Times New Roman""/><i>più cresc.</i>"										
19	19	36	36	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	205													
19	19	37	37	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	206													
19	19	145/4	145/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	207		articStaccatoBelow							18				
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	208		articStaccatoBelow							18				
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	209		articStaccatoBelow											
19	19	149/4	149/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	210		articStaccatoBelow							19				
19	19	75/2	75/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	211		articStaccatoBelow							19				
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	212		articStaccatoBelow											
19	19	36	36	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	213													
19	19	145/4	145/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	214		articStaccatoBelow							20				
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	215		articStaccatoBelow							20				
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	216		articStaccatoBelow											
19	19	149/4	149/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	217		articStaccatoAbove							21				
19	19	75/2	75/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	218		articStaccatoAbove							21				
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	219		articStaccatoAbove											
20	20	38	38	0.0	0	0	Dynamic	2/4	1	1	0					f												
20	20	38	38	0.0	0	0	Spanner	2/4	1	1	0																6	
20	20	38	38	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	220												6	
20	20	157/4	157/4	0.0	5/16	5/16	Spanner	2/4	1	1	0																	
20	20	153/4	153/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	221		articStaccatoBelow							22				
20	20	77/2	77/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	222		articStaccatoBelow							22				
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	223		articStaccatoBelow							22				
20	20	39	39	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	224		articStaccatoBelow							22				
