mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
19	17	97/2	97/2	3.0		0	0	Chord	6/8	1	1	3/4		1/2	3/2	111								
19	17	97/2	97/2	1.5		0	0	Chord	6/8	1	2	3/8		1/4	3/2	112								
19	17	50	50	1.5		3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	113				19				
19	17	97/2	97/2	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	114				18				
19	17	99/2	99/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	115				18				
19	17	50	50	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	116				18				
19	17	51	51	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	117				18				
19	17	97/2	97/2	1.5		0	0	Chord	6/8	2	2	3/8		1/4	3/2	118								
19	17	50	50	1.5		3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	119								
20	18	103/2	103/2	1.5		0	0	Chord	6/8	1	1	3/8		1/4	3/2	120								
20	18	53	53	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	121								
20	18	54	54	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	122		articAccentAbove						
20	18	103/2	103/2	1.0		0	0	Chord	6/8	1	2	1/4		1/4	1	123				19				
20	18	105/2	105/2	0.5		1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	124				19				
20	18	53	53	1.0		3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	125								
20	18	103/2	103/2	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	126				20				
20	18	105/2	105/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	127				20				
20	18	53	53	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	128		articStaccatoAbove						
21	19	109/2	109/2	0.375		0	0	Chord	6/8	1	1	3/32		1/8	3/4	129		articStaccatoBelow						
21	19	439/8	439/8	0.375		3/32	3/32	Chord	6/8	1	1	3/32		1/8	3/4	130		articStaccatoBelow		21				
21	19	221/4	221/4	0.375		3/16	3/16	Chord	6/8	1	1	3/32		1/8	3/4	131		articStaccatoBelow		21				
21	19	445/8	445/8	0.375		9/32	9/32	Chord	6/8	1	1	3/32		1/8	3/4	132		articStaccatoBelow		21				
21	19	56	56	0.1875		3/8	3/8	Chord	6/8	1	1	3/64		1/16	3/4	133		articStaccatoBelow		21				
21	19	899/16	899/16	0.1875		27/64	27/64	Chord	6/8	1	1	3/64		1/16	3/4	134		articStaccatoBelow		21				
21	19	451/8	451/8	0.1875		15/32	15/32	Chord	6/8	1	1	3/64		1/16	3/4	135		articStaccatoBelow		21				
21	19	905/16	905/16	0.1875		33/64	33/64	Chord	6/8	1	1	3/64		1/16	3/4	136		articStaccatoBelow		21				
21	19	227/4	227/4	0.0		9/16	9/16	Spanner	6/8	1	1	0								21				6
21	19	227/4	227/4	0.1875		9/16	9/16	Chord	6/8	1	1	3/64		1/16	3/4	137		articStaccatoBelow		21				6
21	19	911/16	911/16	0.1875		39/64	39/64	Chord	6/8	1	1	3/64		1/16	3/4	138		articStaccatoBelow		21				6
21	19	457/8	457/8	0.1875		21/32	21/32	Chord	6/8	1	1	3/64		1/16	3/4	139		articStaccatoBelow						6
21	19	917/16	917/16	0.1875		45/64	45/64	Chord	6/8	1	1	3/64		1/16	3/4	140								6
21	19	56	56	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	141								
22	20	115/2	115/2	0.0		0	0	Spanner	6/8	1	1	0												
22	20	115/2	115/2	0.0		0	0	Spanner	6/8	1	1	0											4	
22	20	115/2	115/2	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	142				22			4	
22	20	58	58	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	143				22			4	
22	20	117/2	117/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	144				22			4	
22	20	59	59	0.0		3/8	3/8	Spanner	6/8	1	1	0												
22	20	59	59	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	145		articStaccatoBelow						
22	20	60	60	0.0		5/8	5/8	Dynamic	6/8	1	1	0					p							
22	20	115/2	115/2	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	146				23				
22	20	58	58	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	147				23				
22	20	117/2	117/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	148				23				
22	20	59	59	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	149		articStaccatoAbove						
22	20	60	60	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	150				24				
23	21	121/2	121/2	3.0		0	0	Chord	6/8	1	1	3/4		1/2	3/2	151								
23	21	121/2	121/2	1.5		0	0	Chord	6/8	1	2	3/8		1/4	3/2	152								
23	21	62	62	1.5		3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	153				25				
23	21	121/2	121/2	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	154				24				
23	21	123/2	123/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	155				24				
23	21	62	62	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	156				24				
23	21	63	63	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	157				24				
23	21	121/2	121/2	1.5		0	0	Chord	6/8	2	2	3/8		1/4	3/2	158								
23	21	62	62	1.5		3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	159								
24	22	127/2	127/2	1.5		0	0	Chord	6/8	1	1	3/8		1/4	3/2	160								
24	22	65	65	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	161								
24	22	66	66	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	162		articAccentAbove						
24	22	127/2	127/2	1.0		0	0	Chord	6/8	1	2	1/4		1/4	1	163				25				
24	22	129/2	129/2	0.5		1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	164				25				
24	22	65	65	1.0		3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	165								
24	22	127/2	127/2	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	166				26				
24	22	129/2	129/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	167				26				
24	22	65	65	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	168		articStaccatoAbove						
25	23	133/2	133/2	0.375		0	0	Chord	6/8	1	1	3/32		1/8	3/4	169								
