mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
31	30	88	88	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	262										25			
31	30	89	89	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	263										25			
31	30	179/2	179/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	264										25			
31	30	90	90	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	265													
31	30	88	88	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	266													
31	30	88	88	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	267										26			
31	30	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	268													
31	30	88	88	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	269													
32	31	91	91	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	270													
32	31	92	92	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	271													
32	31	92	92	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	272													
32	31	92	92	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	273													
32	31	185/2	185/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	274													
32	31	93	93	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	275													
32	31	280/3	280/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	276													
32	31	281/3	281/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	277													
32	31	91	91	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	278										27			
32	31	93	93	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	279													
32	31	91	91	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	280										28			
32	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	281													
32	31	91	91	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	282													
33	32	94	94	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	283													
33	32	95	95	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	284													
33	32	96	96	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	285													
33	32	94	94	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	286										29			
33	32	95	95	0.0	1/4	1/4	Spanner	3/4	2	1	0																16	16
33	32	95	95	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	287												16	16
34	33	97	97	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	288													
34	33	391/4	391/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	289													
34	33	98	98	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	290													
34	33	99	99	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	291													
34	33	97	97	0.0	0	0	Spanner	3/4	2	1	0																	
34	33	97	97	0.0	0	0	Spanner	3/4	2	1	0																17	17
34	33	97	97	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	292												17	17
34	33	98	98	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	293												17	17
34	33	99	99	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
34	33	99	99	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	294													
35	34	100	100	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	295													
35	34	403/4	403/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	296													
35	34	101	101	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	297													
35	34	102	102	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	298													
35	34	205/2	205/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	299													
35	34	100	100	0.0	0	0	Spanner	3/4	2	1	0																18	18
35	34	100	100	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	300												18	18
35	34	101	101	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	301												18	18
35	34	102	102	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
35	34	102	102	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	302													
35	34	101	101	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	303										30			
35	34	102	102	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	304										30			
35	34	205/2	205/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	305													
36	35	103	103	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	306													
36	35	310/3	310/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	307													
36	35	311/3	311/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	308													
36	35	104	104	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	309													
36	35	104	104	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	310													
36	35	104	104	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	311										31			
36	35	209/2	209/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	312										31			
36	35	105	105	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	313										31			
36	35	211/2	211/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	314													
36	35	103	103	0.0	0	0	Spanner	3/4	2	1	0																19	19
36	35	103	103	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	315												19	19
36	35	104	104	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	316												19	19
36	35	105	105	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
36	35	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	317													
37	36	106	106	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	318										32			
37	36	427/4	427/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	319										32			
37	36	107	107	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	320													
37	36	108	108	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	321													
37	36	106	106	0.0	0	0	Spanner	3/4	2	1	0																20	20
37	36	106	106	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	322										33		20	20
37	36	107	107	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	323												20	20
37	36	108	108	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
38	37	109	109	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	324													
38	37	439/4	439/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	325													
38	37	110	110	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	326													
38	37	221/2	221/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	327		articAccentBelow											
38	37	223/2	223/2	0.16666666666666666	5/8	5/8	Chord	3/4	1	1	1/24		1/16	2/3	328													
38	37	335/3	335/3	0.16666666666666666	2/3	2/3	Chord	3/4	1	1	1/24		1/16	2/3	329													
38	37	671/6	671/6	0.16666666666666666	17/24	17/24	Chord	3/4	1	1	1/24		1/16	2/3	330													
38	37	109	109	0.0	0	0	Spanner	3/4	2	1	0																21	21
38	37	109	109	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	331												21	21
38	37	110	110	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	332												21	21
38	37	111	111	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	333												21	21
39	38	112	112	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	334													
39	38	451/4	451/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	335													
39	38	113	113	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	336													
39	38	114	114	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	337													
39	38	229/2	229/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	338													
39	38	112	112	0.0	0	0	Spanner	3/4	2	1	0																	
39	38	112	112	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	339													
39	38	112	112	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	340										34			
39	38	113	113	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	341										34			
39	38	114	114	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	342													
40	39	115	115	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	343													
40	39	231/2	231/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	344													
40	39	116	116	0.0	1/4	1/4	StaffText	3/4	1	1	0							morendo										
40	39	116	116	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	345													
40	39	117	117	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	346													
40	39	471/4	471/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	347													
40	39	115	115	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	348													
40	39	116	116	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	349													
40	39	117	117	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	350													
40	39	471/4	471/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	351													
40	39	115	115	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	352													
40	39	116	116	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	353													
40	39	117	117	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	354													
41	40	118	118	0.0	0	0	Spanner	3/4	1	1	0															2		
41	40	118	118	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	355										35	2		
41	40	119	119	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	356											2		
41	40	121	121	0.0	3/4	3/4	Spanner	3/4	1	1	0																	
41	40	118	118	0.0	0	0	Spanner	3/4	2	1	0																22	22
41	40	118	118	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	357												22	22
41	40	121	121	0.0	3/4	3/4	Spanner	3/4	2	1	0																	
