mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
30	29	88	88	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	215				75					
30	29	353/4	353/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	216									
30	29	89	89	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	217				76					
30	29	357/4	357/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	218									
30	29	90	90	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	219				77					
30	29	361/4	361/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	220									
31	30	365/4	365/4	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""13""/><font face=""Times New Roman""/><b>Tempo I.</b>"						
31	30	365/4	365/4	0.0	0	0	Dynamic	3/4	1	1	0					p								
31	30	365/4	365/4	0.0	0	0	Spanner	3/4	2	1	0									20	20			
31	30	365/4	365/4	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	221				78	20	20			
31	30	367/4	367/4	0.0	1/8	1/8	StaffText	3/4	2	1	0							sempre	78	20	20			
31	30	367/4	367/4	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	222				78	20	20			
31	30	369/4	369/4	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	223				78	20	20			
31	30	371/4	371/4	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	224				78	20	20			
31	30	373/4	373/4	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	225				78	20	20			
31	30	375/4	375/4	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	226				78	20	20			
32	31	377/4	377/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	227									
32	31	379/4	379/4	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	228									
32	31	381/4	381/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	229									
32	31	383/4	383/4	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	230									
32	31	385/4	385/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	231									
32	31	387/4	387/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	232									
33	32	389/4	389/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	233									
33	32	391/4	391/4	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	234									
33	32	393/4	393/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	235									
33	32	395/4	395/4	0.0	3/8	3/8	Spanner	3/4	1	1	0											0		
33	32	395/4	395/4	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	236							0		
33	32	397/4	397/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	237							0		
33	32	399/4	399/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	238							0		
34	33	401/4	401/4	0.0	0	0	Chord	4/4	1	1	0	acciaccatura	1/8	1	239							0		
34	33	401/4	401/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	240							0		
34	33	101	101	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	241				79			0		
34	33	405/4	405/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	242							0		
34	33	102	102	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	243				80			0		
34	33	409/4	409/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	244							0		
34	33	103	103	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	245				81			0		
34	33	413/4	413/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	246							0		
34	33	104	104	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	247				82			0		
34	33	101	101	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	248				83	20	20			
34	33	405/4	405/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	249					20	20			
34	33	103	103	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	250				84	20	20			
34	33	413/4	413/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	251					20	20			
35	34	417/4	417/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	252							0		
35	34	105	105	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	253				85			0		
35	34	421/4	421/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	254							0		
35	34	106	106	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	255				86			0		
35	34	425/4	425/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	256							0		
35	34	107	107	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	257				87			0		
35	34	429/4	429/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	258							0		
35	34	431/4	431/4	0.0	7/8	7/8	Spanner	4/4	1	1	0													
35	34	108	108	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	259				88					
35	34	105	105	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	260				89	20	20			
35	34	421/4	421/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	261					20	20			
35	34	107	107	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	262				90	20	20			
35	34	429/4	429/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	263					20	20			
36	35	433/4	433/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	264									
36	35	109	109	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	265				91					
36	35	437/4	437/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	266									
36	35	110	110	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	267				92					
36	35	441/4	441/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	268									
36	35	111	111	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	269				93					
36	35	445/4	445/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	270									
36	35	112	112	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	271				94					
36	35	109	109	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	272				95	20	20			
36	35	437/4	437/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	273					20	20			
36	35	111	111	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	274				96	20	20			
36	35	445/4	445/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	275					20	20			
37	36	449/4	449/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	276									
37	36	113	113	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	277				97					
37	36	453/4	453/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	278									
37	36	114	114	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	279				98					
37	36	457/4	457/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	280									
37	36	115	115	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	281				99					
37	36	461/4	461/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	282									
37	36	116	116	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	283				100					
37	36	113	113	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	284				101	20	20			
37	36	453/4	453/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	285					20	20			
37	36	459/4	459/4	0.0	5/8	5/8	Spanner	4/4	2	1	0													
37	36	115	115	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	286				102					
37	36	461/4	461/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	287									
38	37	465/4	465/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	288									
38	37	117	117	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	289				103					
38	37	469/4	469/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	290									
38	37	118	118	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	291				104					
38	37	473/4	473/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	292									
38	37	119	119	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	293				105					
38	37	477/4	477/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	294									
38	37	120	120	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	295				106					
38	37	117	117	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	296				107					
38	37	469/4	469/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	297									
38	37	119	119	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	298				108					
38	37	477/4	477/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	299									
39	38	481/4	481/4	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	300									
39	38	121	121	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	301				109					
39	38	485/4	485/4	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	302									
39	38	122	122	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	303				110					
40	39	489/4	489/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	304									
40	39	123	123	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	305				111					
40	39	493/4	493/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	306									
40	39	124	124	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	307				112					
40	39	497/4	497/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	308									
40	39	125	125	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	309				113					
40	39	501/4	501/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	310									
40	39	126	126	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	311				114					
40	39	123	123	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	312				115					
40	39	493/4	493/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	313									
40	39	125	125	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	314				116					
40	39	501/4	501/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	315									
41	40	505/4	505/4	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	316									
41	40	127	127	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	317				117					
41	40	509/4	509/4	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	318									
41	40	128	128	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	319				118					
42	41	513/4	513/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	320									
42	41	129	129	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	321				119					
42	41	517/4	517/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	322									
42	41	130	130	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	323				120					
42	41	521/4	521/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	324									
42	41	131	131	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	325				121					
42	41	513/4	513/4	0.0	0	0	Spanner	3/4	2	1	0									21	21			
42	41	517/4	517/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	326		articStaccatoAbove			21	21			
43	42	525/4	525/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	327									
43	42	132	132	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	328				122					
43	42	529/4	529/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	329									
43	42	133	133	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	330				123					
43	42	533/4	533/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	331									
43	42	134	134	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	332				124					
44	43	537/4	537/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	333									
44	43	135	135	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	334				125					
44	43	541/4	541/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	335									
44	43	136	136	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	336				126					
44	43	545/4	545/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	337									
44	43	137	137	0.0	11/16	11/16	StaffText	3/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>poco rit.</i>"						
44	43	137	137	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	338				127					
44	43	537/4	537/4	0.0	0	0	Spanner	3/4	2	1	0													
44	43	541/4	541/4	0.0	1/4	1/4	Spanner	3/4	2	1	0									22	22			
44	43	541/4	541/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	339		articStaccatoAbove			22	22			
45	44	549/4	549/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	340									
45	44	138	138	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	341				128					
45	44	553/4	553/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	342									
45	44	139	139	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	343				129					
45	44	557/4	557/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	344									
45	44	140	140	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	345				130					
46	45	561/4	561/4	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""8""/><font face=""Times New Roman""/><i>a tempo</i>"						
46	45	561/4	561/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	346									
46	45	141	141	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	347				131					
46	45	565/4	565/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	348									
46	45	142	142	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	349				132					
46	45	569/4	569/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	350									
46	45	143	143	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	351				133					
46	45	561/4	561/4	0.0	0	0	Spanner	3/4	2	1	0													
46	45	561/4	561/4	0.0	0	0	Spanner	3/4	2	1	0									23	23			
46	45	561/4	561/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	352		articStaccatoBelow			23	23			
46	45	565/4	565/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	353		articStaccatoAbove			23	23			
46	45	569/4	569/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
47	46	573/4	573/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	354		articAccentAbove							
47	46	146	146	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	355				134					
47	46	573/4	573/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	356				135					
47	46	577/4	577/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	357		articStaccatoBelow							
47	46	573/4	573/4	0.0	0	0	Spanner	3/4	2	1	0									24	24			
47	46	573/4	573/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	358		articStaccatoBelow			24	24			
47	46	577/4	577/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	359		articStaccatoAbove			24	24			
47	46	581/4	581/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
48	47	585/4	585/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	360		articAccentAbove							
48	47	149	149	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	361				136					
48	47	585/4	585/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	362				137					
48	47	589/4	589/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	363		articStaccatoBelow							
48	47	585/4	585/4	0.0	0	0	Spanner	3/4	2	1	0									25	25			
48	47	585/4	585/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	364		articStaccatoBelow			25	25			
48	47	589/4	589/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	365		articStaccatoAbove			25	25			
48	47	593/4	593/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
49	48	597/4	597/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	366		articAccentAbove							
49	48	152	152	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	367				138					
49	48	597/4	597/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	368				139					
49	48	601/4	601/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	369		articStaccatoBelow							
49	48	597/4	597/4	0.0	0	0	Spanner	3/4	2	1	0									26	26			
49	48	597/4	597/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	370		articStaccatoBelow			26	26			
49	48	601/4	601/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	371		articStaccatoAbove			26	26			
49	48	605/4	605/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
50	49	609/4	609/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	372									
50	49	153	153	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	373				140					
50	49	613/4	613/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	374									
50	49	154	154	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	375				141					
50	49	617/4	617/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	376									
50	49	155	155	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	377				142					
50	49	609/4	609/4	0.0	0	0	Spanner	3/4	2	1	0									27	27			
50	49	609/4	609/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	378		articStaccatoBelow			27	27			
50	49	613/4	613/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	379		articStaccatoAbove			27	27			
50	49	617/4	617/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
51	50	621/4	621/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	380		articAccentAbove							
51	50	158	158	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	381				143					
51	50	621/4	621/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	382				144					
51	50	625/4	625/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	383		articStaccatoBelow							
51	50	621/4	621/4	0.0	0	0	Spanner	3/4	2	1	0									28	28			
51	50	621/4	621/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	384		articStaccatoBelow			28	28			
51	50	625/4	625/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	385		articStaccatoAbove			28	28			
51	50	629/4	629/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
52	51	633/4	633/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	386		articAccentAbove							
52	51	161	161	0.0	11/16	11/16	StaffText	3/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>poco rit.</i>"						
52	51	161	161	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	387				145					
52	51	633/4	633/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	388				146					
52	51	637/4	637/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	389		articStaccatoBelow							
52	51	633/4	633/4	0.0	0	0	Spanner	3/4	2	1	0									29	29			
52	51	633/4	633/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	390		articStaccatoBelow			29	29			
52	51	637/4	637/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	391		articStaccatoAbove			29	29			
52	51	641/4	641/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
53	52	645/4	645/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	392		articAccentAbove							
53	52	164	164	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	393				147					
53	52	645/4	645/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	394				148					
53	52	649/4	649/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	395		articStaccatoBelow							
53	52	645/4	645/4	0.0	0	0	Spanner	3/4	2	1	0									30	30			
53	52	645/4	645/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	396		articStaccatoBelow			30	30			
53	52	649/4	649/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	397		articStaccatoBelow			30	30			
53	52	653/4	653/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
54	53	657/4	657/4	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""8""/><font face=""Times New Roman""/><i>a tempo</i>"						
54	53	657/4	657/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	398									
54	53	165	165	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	399				149					
54	53	661/4	661/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	400									
54	53	166	166	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	401				150					
54	53	665/4	665/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	402									
54	53	167	167	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	403				151					
54	53	657/4	657/4	0.0	0	0	Spanner	3/4	2	1	0									31	31			
54	53	657/4	657/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	404		articStaccatoAbove			31	31			
54	53	661/4	661/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	405		articStaccatoAbove			31	31			
54	53	665/4	665/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
55	54	669/4	669/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	406		articAccentAbove							
55	54	170	170	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	407				152					
55	54	669/4	669/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	408				153					
55	54	673/4	673/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	409									
55	54	669/4	669/4	0.0	0	0	Spanner	3/4	2	1	0									32	32			
55	54	669/4	669/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	410		articStaccatoAbove			32	32			
55	54	673/4	673/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	411		articStaccatoAbove			32	32			
55	54	677/4	677/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
56	55	681/4	681/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	412		articAccentAbove							
56	55	173	173	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	413				154					
56	55	681/4	681/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	414				155					
56	55	685/4	685/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	415									
56	55	681/4	681/4	0.0	0	0	Spanner	3/4	2	1	0									33	33			
56	55	681/4	681/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	416		articStaccatoAbove			33	33			
56	55	685/4	685/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	417		articStaccatoAbove			33	33			
56	55	689/4	689/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
57	56	693/4	693/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	418		articAccentAbove							
57	56	176	176	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	419				156					
57	56	693/4	693/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	420				157					
57	56	697/4	697/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	421									
57	56	693/4	693/4	0.0	0	0	Spanner	3/4	2	1	0									34	34			
57	56	693/4	693/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	422		articStaccatoAbove			34	34			
57	56	697/4	697/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	423		articStaccatoAbove			34	34			
57	56	701/4	701/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
58	57	705/4	705/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	424									
58	57	177	177	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	425				158					
58	57	709/4	709/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	426									
58	57	178	178	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	427				159					
58	57	713/4	713/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	428									
58	57	179	179	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	429				160					
58	57	705/4	705/4	0.0	0	0	Spanner	3/4	2	1	0									35	35			
58	57	705/4	705/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	430		articStaccatoBelow			35	35			
58	57	709/4	709/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	431		articStaccatoAbove			35	35			
58	57	713/4	713/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
59	58	717/4	717/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	432		articAccentAbove							
59	58	182	182	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	433				161					
59	58	717/4	717/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	434				162					
59	58	721/4	721/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	435		articStaccatoBelow							
59	58	717/4	717/4	0.0	0	0	Spanner	3/4	2	1	0									36	36			
59	58	717/4	717/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	436		articStaccatoBelow			36	36			
59	58	721/4	721/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	437		articStaccatoAbove			36	36			
59	58	725/4	725/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
60	59	729/4	729/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	438		articAccentAbove							
60	59	185	185	0.0	11/16	11/16	StaffText	3/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>poco rit.</i>"						
60	59	185	185	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	439				163					
60	59	729/4	729/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	440				164					
60	59	733/4	733/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	441		articStaccatoBelow							
60	59	729/4	729/4	0.0	0	0	Spanner	3/4	2	1	0									37	37			
60	59	729/4	729/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	442		articStaccatoBelow			37	37			
60	59	733/4	733/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	443		articStaccatoAbove			37	37			
60	59	737/4	737/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
61	60	741/4	741/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	444		articAccentAbove							
61	60	751/4	751/4	0.0	5/8	5/8	StaffText	3/4	1	1	0							"<font size=""8""/><font face=""Times New Roman""/><i>a tempo</i>"						
61	60	751/4	751/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	445				165					
