mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin
32	32	63	63	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	248		articAccentBelow											
32	32	255/4	255/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	249													
33	33	64	64	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	250													
33	33	257/4	257/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	251													
33	33	129/2	129/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	252													
33	33	259/4	259/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	253													
33	33	65	65	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	254		articAccentBelow											
33	33	263/4	263/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	255													
33	33	64	64	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	256		articAccentBelow											
33	33	259/4	259/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	257													
33	33	65	65	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	258		articAccentBelow											
33	33	263/4	263/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	259													
34	34	66	66	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	260													
34	34	265/4	265/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	261													
34	34	133/2	133/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	262													
34	34	267/4	267/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	263													
34	34	67	67	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	264		articAccentBelow											
34	34	271/4	271/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	265													
34	34	66	66	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	266		articAccentBelow											
34	34	267/4	267/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	267													
34	34	67	67	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	268		articAccentBelow											
34	34	271/4	271/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	269													
35	35	68	68	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	270													
35	35	273/4	273/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	271													
35	35	137/2	137/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	272													
35	35	275/4	275/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	273													
35	35	69	69	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	274													
35	35	277/4	277/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	275													
35	35	139/2	139/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	276													
35	35	279/4	279/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	277													
35	35	68	68	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	278		articAccentBelow											
35	35	275/4	275/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	279													
35	35	69	69	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	280		articAccentBelow											
35	35	279/4	279/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	281													
36	36	70	70	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	282													
36	36	281/4	281/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	283													
36	36	141/2	141/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	284													
36	36	283/4	283/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	285													
36	36	71	71	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	286													
36	36	285/4	285/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	287													
36	36	143/2	143/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	288													
36	36	287/4	287/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	289													
36	36	70	70	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	290		articAccentBelow											
36	36	283/4	283/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	291													
36	36	71	71	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	292		articAccentBelow											
36	36	287/4	287/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	293													
37	37	72	72	0.0		0	0	StaffText	2/4	1	1	0							"<i><font size=""9""/><font face=""Times New Roman""/>cresc. poco a poco</i>"										
37	37	72	72	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	294		articStaccatoBelow											
37	37	145/2	145/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	295													
37	37	291/4	291/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	296													
37	37	73	73	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	297		articAccentAbove											
37	37	295/4	295/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	298													
37	37	72	72	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	299		articAccentBelow											
37	37	291/4	291/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	300													
37	37	73	73	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	301		articAccentBelow											
37	37	295/4	295/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	302													
38	38	74	74	0.75		0	0	Chord	2/4	1	1	3/16		1/8	3/2	303		articAccentAbove											
38	38	299/4	299/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	304													
38	38	75	75	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	305		articAccentAbove											
38	38	303/4	303/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	306													
38	38	74	74	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	307		articAccentBelow											
38	38	299/4	299/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	308													
38	38	75	75	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	309		articAccentBelow											
38	38	303/4	303/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	310													
39	39	76	76	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	311		articStaccatoBelow											
39	39	153/2	153/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	312													
39	39	307/4	307/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	313													
39	39	77	77	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	314		articStaccatoBelow											
39	39	155/2	155/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	315													
39	39	311/4	311/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	316													
39	39	76	76	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	317		articAccentBelow											
39	39	307/4	307/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	318													
39	39	77	77	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	319		articAccentBelow											
39	39	311/4	311/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	320													
40	40	78	78	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	321		articStaccatoAbove											
40	40	157/2	157/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	322													
40	40	315/4	315/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	323													
40	40	79	79	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	324		articAccentBelow											
40	40	78	78	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	325		articAccentBelow											
40	40	315/4	315/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	326													
40	40	79	79	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	327		articAccentBelow											
40	40	319/4	319/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	328													
41	41	80	80	0.0		0	0	StaffText	2/4	1	1	0							"<i><font size=""9""/><font face=""Times New Roman""/>più cresc.</i>"										
41	41	80	80	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	329													
41	41	321/4	321/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	330													
41	41	161/2	161/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	331													
41	41	323/4	323/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	332													
41	41	81	81	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	333		articAccentBelow											
41	41	327/4	327/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	334													
41	41	80	80	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	335		articAccentBelow											
41	41	323/4	323/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	336													
41	41	81	81	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	337		articAccentBelow											
41	41	327/4	327/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	338													
42	42	82	82	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	339													
42	42	329/4	329/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	340													
42	42	165/2	165/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	341													
42	42	331/4	331/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	342													
42	42	83	83	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	343		articAccentAbove											
42	42	335/4	335/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	344													
42	42	82	82	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	345		articAccentBelow											
42	42	331/4	331/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	346													
42	42	83	83	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	347		articAccentBelow											
42	42	335/4	335/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	348													
43	43	84	84	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	349													
43	43	337/4	337/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	350													
43	43	169/2	169/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	351													
43	43	339/4	339/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	352													
43	43	85	85	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	353													
43	43	341/4	341/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	354													
43	43	171/2	171/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	355													
43	43	343/4	343/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	356													
43	43	84	84	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	357		articAccentBelow											
43	43	339/4	339/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	358													
43	43	85	85	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	359		articAccentBelow											
43	43	343/4	343/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	360													
44	44	86	86	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	361													
44	44	345/4	345/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	362													
44	44	173/2	173/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	363													
44	44	347/4	347/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	364													
44	44	87	87	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	365													
44	44	349/4	349/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	366													
44	44	175/2	175/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	367													
44	44	351/4	351/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	368													
44	44	86	86	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	369		articAccentBelow											
44	44	347/4	347/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	370													
44	44	87	87	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	371		articAccentBelow											
44	44	351/4	351/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	372													
45	45	88	88	0.0		0	0	Dynamic	2/4	1	1	0					f												
45	45	88	88	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	373		articAccentStaccatoBelow											
45	45	177/2	177/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	374													
45	45	355/4	355/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	375													
45	45	89	89	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	376		articAccentStaccatoAbove											
45	45	179/2	179/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	377		articStaccatoAbove											
45	45	88	88	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	378		articStaccatoBelow											
46	46	90	90	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	379		articAccentStaccatoAbove											
46	46	181/2	181/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	380		articStaccatoAbove											
46	46	91	91	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	381		articAccentStaccatoAbove											
46	46	183/2	183/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	382		articStaccatoAbove											
47	47	92	92	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	383		articAccentStaccatoBelow											
47	47	185/2	185/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	384													
47	47	371/4	371/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	385													
47	47	93	93	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	386		articAccentStaccatoAbove											
47	47	187/2	187/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	387		articStaccatoAbove											
47	47	92	92	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	388		articStaccatoBelow											
48	48	94	94	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	389		articStaccatoAbove											
48	48	189/2	189/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	390		articStaccatoAbove											
48	48	95	95	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	391		articAccentStaccatoAbove											
48	48	191/2	191/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	392		articStaccatoAbove											
49	49	96	96	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	393		articAccentStaccatoAbove											
49	49	193/2	193/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	394													
49	49	387/4	387/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	395													
49	49	97	97	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	396		articAccentStaccatoAbove											
49	49	195/2	195/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	397		articStaccatoAbove											
49	49	96	96	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	398													
50	50	98	98	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	399		articAccentStaccatoAbove											
50	50	197/2	197/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	400													
50	50	395/4	395/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	401													
50	50	99	99	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	402		articAccentStaccatoAbove											
50	50	199/2	199/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	403		articStaccatoAbove											
50	50	98	98	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	404													
51	51	100	100	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	405		articAccentStaccatoAbove											
51	51	201/2	201/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	406													
51	51	403/4	403/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	407													
51	51	101	101	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	408		articAccentStaccatoAbove											
51	51	203/2	203/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	409		articStaccatoAbove											
51	51	100	100	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	410													
52	52	102	102	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	411		articAccentStaccatoAbove											
52	52	205/2	205/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	412													
52	52	411/4	411/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	413													
52	52	103	103	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	414		articAccentStaccatoAbove											
52	52	207/2	207/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	415		articStaccatoAbove											
52	52	102	102	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	416													
53	53	104	104	0.0		0	0	StaffText	2/4	1	1	0							più										
53	53	104	104	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	417		articStaccatoAbove											
53	53	209/2	209/2	0.0		1/8	1/8	Dynamic	2/4	1	1	0					f												
53	53	209/2	209/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	418													
53	53	419/4	419/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	419													
53	53	105	105	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	420		articAccentBelow											
53	53	104	104	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	421													
53	53	105	105	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	422		articAccentAbove											
54	54	106	106	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	423		articStaccatoAbove											
54	54	213/2	213/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	424													
54	54	427/4	427/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	425													
54	54	107	107	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	426		articAccentBelow											
54	54	106	106	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	427													
54	54	107	107	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	428		articAccentAbove											
55	55	108	108	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	429		articStaccatoAbove											
55	55	217/2	217/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	430													
55	55	435/4	435/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	431													
55	55	109	109	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	432		articAccentBelow											
55	55	108	108	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	433													
55	55	109	109	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	434		articAccentAbove											
56	56	110	110	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	435		articStaccatoAbove											
56	56	221/2	221/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	436													
56	56	443/4	443/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	437													
56	56	111	111	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	438		articAccentBelow											
56	56	110	110	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	439													
56	56	111	111	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	440		articAccentAbove											
57	57	112	112	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	441		articStaccatoAbove											
57	57	225/2	225/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	442													
57	57	451/4	451/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	443													
57	57	113	113	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	444		articAccentBelow											
57	57	112	112	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	445													
57	57	113	113	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	446		articAccentAbove											
58	58	114	114	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	447		articAccentBelow											
58	58	115	115	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	448		articAccentAbove											
58	58	114	114	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	449		articAccentAbove											
58	58	115	115	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	450		articAccentAbove											
59	59	116	116	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	451		articAccentAbove											
59	59	117	117	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	452		articAccentAbove											
59	59	116	116	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	453		articAccentAbove											
59	59	117	117	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	454		articAccentAbove											
60	60	118	118	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	455		articAccentAbove											
60	60	118	118	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	456		articAccentAbove											
60	60	119	119	0.0		1/4	1/4	StaffText	2/4	2	1	0							glissando										
60	60	119	119	0.0		1/4	1/4	Spanner	2/4	2	1	0																	0
60	60	119	119	0.037037037037037035		1/4	1/4	Chord	2/4	2	1	1/108		1/32	8/27	457													0
60	60	3214/27	3214/27	0.037037037037037035		7/27	7/27	Chord	2/4	2	1	1/108		1/32	8/27	458													0
60	60	3215/27	3215/27	0.037037037037037035		29/108	29/108	Chord	2/4	2	1	1/108		1/32	8/27	459													0
60	60	1072/9	1072/9	0.037037037037037035		5/18	5/18	Chord	2/4	2	1	1/108		1/32	8/27	460													0
60	60	3217/27	3217/27	0.037037037037037035		31/108	31/108	Chord	2/4	2	1	1/108		1/32	8/27	461													0
60	60	3218/27	3218/27	0.037037037037037035		8/27	8/27	Chord	2/4	2	1	1/108		1/32	8/27	462													0
60	60	1073/9	1073/9	0.037037037037037035		11/36	11/36	Chord	2/4	2	1	1/108		1/32	8/27	463													0
60	60	3220/27	3220/27	0.037037037037037035		17/54	17/54	Chord	2/4	2	1	1/108		1/32	8/27	464													0
60	60	3221/27	3221/27	0.037037037037037035		35/108	35/108	Chord	2/4	2	1	1/108		1/32	8/27	465													0
60	60	358/3	358/3	0.037037037037037035		1/3	1/3	Chord	2/4	2	1	1/108		1/32	8/27	466													0
60	60	3223/27	3223/27	0.037037037037037035		37/108	37/108	Chord	2/4	2	1	1/108		1/32	8/27	467													0
60	60	3224/27	3224/27	0.037037037037037035		19/54	19/54	Chord	2/4	2	1	1/108		1/32	8/27	468													0
60	60	1075/9	1075/9	0.037037037037037035		13/36	13/36	Chord	2/4	2	1	1/108		1/32	8/27	469													0
60	60	3226/27	3226/27	0.037037037037037035		10/27	10/27	Chord	2/4	2	1	1/108		1/32	8/27	470													0
60	60	3227/27	3227/27	0.037037037037037035		41/108	41/108	Chord	2/4	2	1	1/108		1/32	8/27	471													0
60	60	1076/9	1076/9	0.037037037037037035		7/18	7/18	Chord	2/4	2	1	1/108		1/32	8/27	472													0
60	60	3229/27	3229/27	0.037037037037037035		43/108	43/108	Chord	2/4	2	1	1/108		1/32	8/27	473													0
60	60	3230/27	3230/27	0.037037037037037035		11/27	11/27	Chord	2/4	2	1	1/108		1/32	8/27	474													0
60	60	359/3	359/3	0.037037037037037035		5/12	5/12	Chord	2/4	2	1	1/108		1/32	8/27	475													0
60	60	3232/27	3232/27	0.037037037037037035		23/54	23/54	Chord	2/4	2	1	1/108		1/32	8/27	476													0
60	60	3233/27	3233/27	0.037037037037037035		47/108	47/108	Chord	2/4	2	1	1/108		1/32	8/27	477													0
60	60	1078/9	1078/9	0.037037037037037035		4/9	4/9	Chord	2/4	2	1	1/108		1/32	8/27	478													0
60	60	3235/27	3235/27	0.037037037037037035		49/108	49/108	Chord	2/4	2	1	1/108		1/32	8/27	479													0
60	60	3236/27	3236/27	0.037037037037037035		25/54	25/54	Chord	2/4	2	1	1/108		1/32	8/27	480													0
60	60	1079/9	1079/9	0.037037037037037035		17/36	17/36	Chord	2/4	2	1	1/108		1/32	8/27	481													0
60	60	3238/27	3238/27	0.037037037037037035		13/27	13/27	Chord	2/4	2	1	1/108		1/32	8/27	482													0
60	60	3239/27	3239/27	0.0		53/108	53/108	Spanner	2/4	2	1	0																	
60	60	3239/27	3239/27	0.037037037037037035		53/108	53/108	Chord	2/4	2	1	1/108		1/32	8/27	483													
61	61	120	120	0.0		0	0	Dynamic	2/4	1	1	0					ff												
61	61	120	120	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	484		articStaccatoAbove											
61	61	241/2	241/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	485													
61	61	483/4	483/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	486													
61	61	121	121	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	487		articAccentAbove											
61	61	487/4	487/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	488													
61	61	120	120	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	489		articAccentAbove											
61	61	241/2	241/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	490													
61	61	121	121	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	491		articAccentAbove											
61	61	243/2	243/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	492													
62	62	122	122	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	493		articStaccatoAbove											
62	62	245/2	245/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	494													
62	62	491/4	491/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	495													
62	62	123	123	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	496		articAccentAbove											
62	62	495/4	495/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	497													
62	62	122	122	0.0		0	0	StaffText	2/4	2	1	0							(segue)										
62	62	122	122	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	498		articAccentAbove											
62	62	245/2	245/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	499													
62	62	123	123	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	500		articAccentBelow											
62	62	247/2	247/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	501													
63	63	124	124	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	502		articStaccatoAbove											
63	63	249/2	249/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	503													
63	63	499/4	499/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	504													
63	63	125	125	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	505		articStaccatoAbove											
63	63	251/2	251/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	506													
63	63	503/4	503/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	507													
63	63	124	124	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	508		articAccentBelow											
