mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
39	39	153	153	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	558											
39	39	307/2	307/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	559											
39	39	154	154	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	560											
39	39	309/2	309/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	561											
39	39	155	155	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	562											
39	39	311/2	311/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	563											
40	40	625/4	625/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	564		articAccentBelow									
40	40	627/4	627/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	565											
40	40	629/4	629/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	566											
40	40	631/4	631/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	567											
40	40	633/4	633/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	568		articAccentBelow									
40	40	635/4	635/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	569											
40	40	637/4	637/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	570											
40	40	639/4	639/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	571											
40	40	156	156	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	572		articAccentAbove									
40	40	157	157	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	573											
40	40	315/2	315/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	574											
40	40	158	158	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	575		articAccentAbove									
40	40	159	159	0.0	3/4	3/4	Spanner	4/4	2	1	0												33	33		
40	40	159	159	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	576								33	33		
40	40	319/2	319/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	577								33	33		
41	41	641/4	641/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	578		articAccentAbove									
41	41	643/4	643/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	579											
41	41	645/4	645/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	580											
41	41	647/4	647/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	581											
41	41	649/4	649/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	582		articAccentAbove									
41	41	651/4	651/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	583											
41	41	653/4	653/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	584											
41	41	655/4	655/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	585											
41	41	160	160	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	586		articAccentBelow						33	33		
41	41	161	161	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	587								33	33		
41	41	323/2	323/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	588								33	33		
41	41	162	162	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	589		articAccentAbove						33	33		
41	41	163	163	0.0	3/4	3/4	Dynamic	4/4	2	1	0					f										
41	41	163	163	0.0	3/4	3/4	Spanner	4/4	2	1	0															
41	41	163	163	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	590		articStaccatoAbove									
41	41	327/2	327/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	591		articStaccatoAbove									
42	42	657/4	657/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	592											
42	42	659/4	659/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	593											
42	42	661/4	661/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	594											
42	42	663/4	663/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	595											
42	42	665/4	665/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	596											
42	42	667/4	667/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	597											
42	42	669/4	669/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	598											
42	42	671/4	671/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	599											
42	42	164	164	0.0	0	0	Spanner	4/4	2	1	0												34	34		
42	42	164	164	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	600		articAccentStaccatoAbove						34	34		
42	42	329/2	329/2	0.0	1/8	1/8	Spanner	4/4	2	1	0															
42	42	329/2	329/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	601		articStaccatoAbove									
42	42	165	165	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	602		articStaccatoAbove									
42	42	331/2	331/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	603		articStaccatoAbove									
42	42	166	166	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	604		articStaccatoAbove									
42	42	333/2	333/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	605		articStaccatoAbove									
42	42	167	167	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	606		articStaccatoAbove									
42	42	335/2	335/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	607		articStaccatoAbove									
43	43	673/4	673/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	608											
43	43	675/4	675/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	609											
43	43	677/4	677/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	610											
43	43	679/4	679/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	611											
43	43	681/4	681/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	612											
43	43	683/4	683/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	613											
43	43	685/4	685/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	614											
43	43	687/4	687/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	615											
43	43	168	168	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	616		articStaccatoAbove									
43	43	337/2	337/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	617		articStaccatoAbove									
43	43	169	169	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	618		articStaccatoAbove									
43	43	339/2	339/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	619		articStaccatoAbove									
43	43	170	170	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	620		articStaccatoBelow									
43	43	341/2	341/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	621		articStaccatoBelow									
43	43	171	171	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	622		articStaccatoBelow									
43	43	343/2	343/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	623		articStaccatoBelow									
44	44	689/4	689/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	624											
44	44	691/4	691/4	0.0	3/16	3/16	Spanner	4/4	1	1	0															0
44	44	691/4	691/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	625											0
44	44	693/4	693/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	626											0
44	44	695/4	695/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	627											0
44	44	697/4	697/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	628											0
44	44	699/4	699/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	629											0
44	44	175	175	0.0	3/4	3/4	Spanner	4/4	1	1	0															
44	44	701/4	701/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	630											
44	44	703/4	703/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	631											
44	44	172	172	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	632		articStaccatoBelow									
44	44	345/2	345/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	633		articStaccatoBelow									
44	44	173	173	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	634		articStaccatoBelow									
44	44	347/2	347/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	635		articStaccatoBelow									
44	44	174	174	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	636		articStaccatoBelow									
44	44	349/2	349/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	637		articStaccatoBelow									
44	44	175	175	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	638		articStaccatoBelow									
44	44	351/2	351/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	639		articStaccatoBelow									
45	45	176	176	0.0	0	0	Dynamic	4/4	1	1	0					other-dynamics										
45	45	177	177	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	640											
45	45	178	178	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	641											
45	45	179	179	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	642											
45	45	176	176	4.0	0	0	Chord	4/4	1	2	1		1	1	643		articAccentAbove									
45	45	176	176	0.0	0	0	Spanner	4/4	2	1	0												35	35		
45	45	177	177	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	644								35	35		
45	45	178	178	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	645								35	35		
45	45	179	179	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	646								35	35		
45	45	176	176	4.0	0	0	Chord	4/4	2	2	1		1	1	647		articAccentAbove						35	35		
46	46	181	181	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	648											
46	46	182	182	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	649											
46	46	183	183	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	650											
46	46	180	180	4.0	0	0	Chord	4/4	1	2	1		1	1	651		articAccentAbove									
46	46	180	180	0.0	0	0	Spanner	4/4	2	1	0															
46	46	180	180	0.0	0	0	Spanner	4/4	2	1	0												36	36		
46	46	181	181	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	652								36	36		
46	46	182	182	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	653								36	36		
46	46	183	183	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	654								36	36		
46	46	180	180	4.0	0	0	Chord	4/4	2	2	1		1	1	655		articAccentAbove						36	36		
47	47	184	184	0.0	0	0	Dynamic	4/4	1	1	0					other-dynamics										
47	47	184	184	0.0	0	0	Dynamic	4/4	1	1	0					f										
47	47	185	185	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	656											
47	47	186	186	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	657											
47	47	187	187	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	658											
47	47	184	184	4.0	0	0	Chord	4/4	1	2	1		1	1	659		articAccentAbove									
47	47	184	184	0.0	0	0	Spanner	4/4	2	1	0															
47	47	184	184	0.0	0	0	Spanner	4/4	2	1	0												37	37		
47	47	185	185	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	660								37	37		
47	47	186	186	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	661								37	37		
47	47	187	187	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	662								37	37		
47	47	184	184	4.0	0	0	Chord	4/4	2	2	1		1	1	663		articAccentAbove						37	37		
48	48	188	188	0.0	0	0	Tempo	4/4	1	1	0								pocorit.	120.0	1.0					
48	48	189	189	0.0	1/4	1/4	Tempo	4/4	1	1	0								115	115.0	0.0					
48	48	189	189	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	664											
48	48	190	190	0.0	1/2	1/2	Tempo	4/4	1	1	0								105	105.0	0.0					
48	48	190	190	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	665											
48	48	191	191	0.0	3/4	3/4	Tempo	4/4	1	1	0								95	95.0	0.0					
48	48	191	191	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	666											
48	48	383/2	383/2	0.0	7/8	7/8	Tempo	4/4	1	1	0								atempo	125.0	1.0					
48	48	383/2	383/2	0.16666666666666666	7/8	7/8	Chord	4/4	1	1	1/24		1/16	2/3	667											
48	48	575/3	575/3	0.16666666666666666	11/12	11/12	Chord	4/4	1	1	1/24		1/16	2/3	668											
48	48	1151/6	1151/6	0.16666666666666666	23/24	23/24	Chord	4/4	1	1	1/24		1/16	2/3	669											
48	48	188	188	4.0	0	0	Chord	4/4	1	2	1		1	1	670		articAccentAbove									
48	48	188	188	0.0	0	0	Spanner	4/4	2	1	0															
48	48	188	188	0.0	0	0	Spanner	4/4	2	1	0												38	38		
48	48	189	189	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	671								38	38		
48	48	190	190	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	672								38	38		
48	48	191	191	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	673								38	38		
48	48	188	188	4.0	0	0	Chord	4/4	2	2	1		1	1	674		articAccentAbove						38	38		
49	49	192	192	0.0	0	0	Dynamic	4/4	1	1	0					fff										
49	49	192	192	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	675		articAccentAbove					26				
49	49	385/2	385/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	676											
49	49	193	193	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	677											
49	49	387/2	387/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	678											
49	49	194	194	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	679		articAccentAbove					27				
49	49	389/2	389/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	680											
49	49	195	195	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	681											
49	49	391/2	391/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	682											
49	49	192	192	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	683											
49	49	193	193	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	684											
49	49	387/2	387/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	685											
49	49	194	194	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	686											
49	49	195	195	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	687											
49	49	391/2	391/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	688											
49	49	192	192	0.0	0	0	Spanner	4/4	2	1	0															
49	49	192	192	0.0	0	0	Spanner	4/4	2	1	0												39	39		
49	49	192	192	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	689		articAccentBelow						39	39		
49	49	769/4	769/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	690								39	39		
49	49	385/2	385/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	691								39	39		
49	49	771/4	771/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	692								39	39		
49	49	193	193	0.2	1/4	1/4	Chord	4/4	2	1	1/20		1/16	4/5	693								39	39		
49	49	966/5	966/5	0.2	3/10	3/10	Chord	4/4	2	1	1/20		1/16	4/5	694								39	39		
49	49	967/5	967/5	0.2	7/20	7/20	Chord	4/4	2	1	1/20		1/16	4/5	695								39	39		
49	49	968/5	968/5	0.2	2/5	2/5	Chord	4/4	2	1	1/20		1/16	4/5	696								39	39		
49	49	969/5	969/5	0.2	9/20	9/20	Chord	4/4	2	1	1/20		1/16	4/5	697								39	39		
49	49	194	194	0.2	1/2	1/2	Chord	4/4	2	1	1/20		1/16	4/5	698								39	39		
49	49	971/5	971/5	0.2	11/20	11/20	Chord	4/4	2	1	1/20		1/16	4/5	699								39	39		
49	49	972/5	972/5	0.2	3/5	3/5	Chord	4/4	2	1	1/20		1/16	4/5	700								39	39		
49	49	973/5	973/5	0.2	13/20	13/20	Chord	4/4	2	1	1/20		1/16	4/5	701								39	39		
49	49	974/5	974/5	0.2	7/10	7/10	Chord	4/4	2	1	1/20		1/16	4/5	702								39	39		
49	49	195	195	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	703								39	39		
50	50	196	196	0.0	0	0	Dynamic	4/4	1	1	0					fz										
50	50	196	196	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	704		articAccentStaccatoAbove									
50	50	197	197	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	705											
50	50	791/4	791/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	706											
50	50	198	198	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	707											
50	50	199	199	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	708											
50	50	399/2	399/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	709											
50	50	196	196	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	710								39	39		
50	50	393/2	393/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	711								39	39		
50	50	395/2	395/2	1.0	3/8	3/8	Chord	4/4	2	1	1/4		1/4	1	712								39	39		
50	50	397/2	397/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	713								39	39		
51	51	200	200	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	714		articAccentAbove					28				
51	51	401/2	401/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	715											
51	51	201	201	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	716											
51	51	403/2	403/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	717											
51	51	202	202	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	718		articAccentAbove					29				
51	51	405/2	405/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	719											
51	51	203	203	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	720											
51	51	407/2	407/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	721											
51	51	200	200	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	722											
51	51	201	201	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	723											
51	51	403/2	403/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	724											
51	51	202	202	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	725											
51	51	203	203	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	726											
51	51	407/2	407/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	727											
51	51	200	200	0.0	0	0	Spanner	4/4	2	1	0															
51	51	200	200	0.0	0	0	Spanner	4/4	2	1	0												40	40		
51	51	200	200	0.16666666666666666	0	0	Chord	4/4	2	1	1/24		1/16	2/3	728								40	40		
51	51	1201/6	1201/6	0.16666666666666666	1/24	1/24	Chord	4/4	2	1	1/24		1/16	2/3	729								40	40		
51	51	601/3	601/3	0.16666666666666666	1/12	1/12	Chord	4/4	2	1	1/24		1/16	2/3	730								40	40		
51	51	401/2	401/2	0.16666666666666666	1/8	1/8	Chord	4/4	2	1	1/24		1/16	2/3	731								40	40		
51	51	602/3	602/3	0.16666666666666666	1/6	1/6	Chord	4/4	2	1	1/24		1/16	2/3	732								40	40		
51	51	1205/6	1205/6	0.16666666666666666	5/24	5/24	Chord	4/4	2	1	1/24		1/16	2/3	733								40	40		
51	51	201	201	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	734								40	40		
51	51	202	202	0.2	1/2	1/2	Chord	4/4	2	1	1/20		1/16	4/5	735								40	40		
51	51	1011/5	1011/5	0.2	11/20	11/20	Chord	4/4	2	1	1/20		1/16	4/5	736								40	40		
51	51	1012/5	1012/5	0.2	3/5	3/5	Chord	4/4	2	1	1/20		1/16	4/5	737								40	40		
51	51	1013/5	1013/5	0.2	13/20	13/20	Chord	4/4	2	1	1/20		1/16	4/5	738								40	40		
51	51	1014/5	1014/5	0.2	7/10	7/10	Chord	4/4	2	1	1/20		1/16	4/5	739								40	40		
51	51	203	203	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	740								40	40		
52	52	204	204	0.0	0	0	Dynamic	4/4	1	1	0					fz										
52	52	204	204	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	741		articAccentStaccatoAbove									
52	52	205	205	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	742											
52	52	823/4	823/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	743											
52	52	206	206	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	744											
52	52	415/2	415/2	0.16666666666666666	7/8	7/8	Chord	4/4	1	1	1/24		1/16	2/3	745											
52	52	623/3	623/3	0.16666666666666666	11/12	11/12	Chord	4/4	1	1	1/24		1/16	2/3	746											
52	52	1247/6	1247/6	0.16666666666666666	23/24	23/24	Chord	4/4	1	1	1/24		1/16	2/3	747											
52	52	204	204	0.0	0	0	Spanner	4/4	2	1	0															
52	52	204	204	0.0	0	0	Spanner	4/4	2	1	0												41	41		
52	52	204	204	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	748								41	41		
52	52	409/2	409/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	749								41	41		
52	52	411/2	411/2	1.0	3/8	3/8	Chord	4/4	2	1	1/4		1/4	1	750								41	41		
52	52	413/2	413/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	751								41	41		
53	53	208	208	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	752		articAccentAbove					30				
53	53	417/2	417/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	753											
53	53	209	209	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	754											
53	53	419/2	419/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	755											
53	53	210	210	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	756		articAccentAbove					31				
53	53	421/2	421/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	757											
53	53	211	211	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	758											
53	53	423/2	423/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	759											
53	53	208	208	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	760											
53	53	209	209	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	761											
53	53	419/2	419/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	762											
53	53	210	210	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	763											
53	53	211	211	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	764											
53	53	423/2	423/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	765											
53	53	208	208	0.0	0	0	Spanner	4/4	2	1	0															
53	53	208	208	0.0	0	0	Spanner	4/4	2	1	0												42	42		
53	53	208	208	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	766		articAccentAbove						42	42		
53	53	833/4	833/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	767								42	42		
53	53	417/2	417/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	768								42	42		
53	53	835/4	835/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	769								42	42		
53	53	209	209	0.2	1/4	1/4	Chord	4/4	2	1	1/20		1/16	4/5	770								42	42		
53	53	1046/5	1046/5	0.2	3/10	3/10	Chord	4/4	2	1	1/20		1/16	4/5	771								42	42		
53	53	1047/5	1047/5	0.2	7/20	7/20	Chord	4/4	2	1	1/20		1/16	4/5	772								42	42		
53	53	1048/5	1048/5	0.2	2/5	2/5	Chord	4/4	2	1	1/20		1/16	4/5	773								42	42		
53	53	1049/5	1049/5	0.2	9/20	9/20	Chord	4/4	2	1	1/20		1/16	4/5	774								42	42		
53	53	210	210	0.2	1/2	1/2	Chord	4/4	2	1	1/20		1/16	4/5	775								42	42		
53	53	1051/5	1051/5	0.2	11/20	11/20	Chord	4/4	2	1	1/20		1/16	4/5	776								42	42		
53	53	1052/5	1052/5	0.2	3/5	3/5	Chord	4/4	2	1	1/20		1/16	4/5	777								42	42		
53	53	1053/5	1053/5	0.2	13/20	13/20	Chord	4/4	2	1	1/20		1/16	4/5	778								42	42		
53	53	1054/5	1054/5	0.2	7/10	7/10	Chord	4/4	2	1	1/20		1/16	4/5	779								42	42		
53	53	211	211	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	780								42	42		
54	54	212	212	0.0	0	0	Dynamic	4/4	1	1	0					fz										
54	54	212	212	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	781		articAccentStaccatoAbove									
54	54	213	213	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	782											
54	54	855/4	855/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	783											
54	54	214	214	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	784											
54	54	215	215	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	785											
54	54	431/2	431/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	786											
54	54	212	212	0.0	0	0	Spanner	4/4	2	1	0															
54	54	212	212	0.0	0	0	Spanner	4/4	2	1	0												43	43		
54	54	212	212	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	787								43	43		
54	54	425/2	425/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	788								43	43		
54	54	427/2	427/2	1.0	3/8	3/8	Chord	4/4	2	1	1/4		1/4	1	789								43	43		
54	54	429/2	429/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	790								43	43		
55	55	216	216	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	791		articAccentAbove					32				
55	55	433/2	433/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	792											
55	55	217	217	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	793											
55	55	435/2	435/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	794											
55	55	218	218	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	795		articAccentAbove					33				
55	55	437/2	437/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	796											
55	55	219	219	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	797											
55	55	439/2	439/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	798											
55	55	216	216	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	799											
55	55	217	217	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	800											
55	55	435/2	435/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	801											
55	55	218	218	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	802											
55	55	219	219	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	803											
