mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
29	29	86	86	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	189									48				
29	29	345/4	345/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	190													
30	30	88	88	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	191									49				
30	30	353/4	353/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	192													
30	30	89	89	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	193									50				
30	30	357/4	357/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	194													
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	195		articAccentStaccatoBelow											
30	30	88	88	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	196									51				
30	30	353/4	353/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	197													
30	30	89	89	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	198													
30	30	357/4	357/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	199													
31	31	90	90	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	200		articStaccatoBelow											
31	31	91	91	1.75	1/4	1/4	Chord	3/4	1	1	7/16	1/4	7/4	201		articAccentBelow											
31	31	371/4	371/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	202													
31	31	90	90	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	203		articStaccatoBelow											
31	31	91	91	1.75	1/4	1/4	Chord	3/4	2	1	7/16	1/4	7/4	204		articAccentBelow											
31	31	371/4	371/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	205													
32	32	93	93	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	206		articAccentBelow											
