mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	251									
20	20	77/2	77/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	252									
21	21	40	40	0.0	0	0	Dynamic	2/4	1	1	0					f								
21	21	40	40	0.0	0	0	Spanner	2/4	1	1	0													
21	21	40	40	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	253		articAccentAbove		48					
21	21	81/2	81/2	0.0	1/8	1/8	Spanner	2/4	1	1	0									2				
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	254		articStaccatoAbove			2				
21	21	41	41	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	255		articAccentAbove		49	2				
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	256		articStaccatoAbove			2				
21	21	40	40	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	257					2				
21	21	161/4	161/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	258					2				
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	259					2				
21	21	41	41	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	260					2				
21	21	165/4	165/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	261					2				
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	262					2				
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	263		articAccentAbove		50					
21	21	41	41	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	264		articStaccatoAbove							
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	265		articAccentAbove		51					
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	266									
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	267									
21	21	41	41	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	268									
21	21	83/2	83/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	269									
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	270									
22	22	42	42	0.0	0	0	Spanner	2/4	1	1	0													
22	22	42	42	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	271		articAccentAbove		52					
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	272									
22	22	43	43	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	273		articTenutoAbove							
22	22	42	42	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	274				53					
22	22	169/4	169/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	275									
22	22	85/2	85/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	276		articStaccatoBelow							
22	22	171/4	171/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	277		articStaccatoBelow							
22	22	43	43	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	278									
22	22	42	42	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	279		articStaccatoAbove							
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	280		articStaccatoBelow							
22	22	43	43	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	281		articTenutoBelow							
22	22	42	42	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	282									
23	23	44	44	0.0	0	0	Dynamic	2/4	1	1	0					p								
23	23	44	44	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	283									
23	23	44	44	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	284		articStaccatoAbove							
23	23	89/2	89/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	285		articTenutoAbove							
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	286									
23	23	44	44	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	287									
23	23	89/2	89/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	288				54					
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	289				54					
23	23	45	45	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	290									
23	23	91/2	91/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	291				55					
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	292				55					
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	293									
23	23	45	45	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	294									
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	295									
23	23	89/2	89/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	296									
24	24	46	46	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	297									
24	24	93/2	93/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	298		articTenutoAbove							
24	24	95/2	95/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	299		articTenutoAbove		56					
24	24	46	46	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	300									
24	24	93/2	93/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	301				57					
24	24	187/4	187/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	302				57					
24	24	47	47	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	303									
24	24	95/2	95/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	304				58					
24	24	191/4	191/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	305				58					
24	24	93/2	93/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	306									
24	24	47	47	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	307									
24	24	95/2	95/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	308									
24	24	93/2	93/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	309									
25	25	48	48	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	310									
25	25	97/2	97/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0					pp								
25	25	97/2	97/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	311				59					
25	25	195/4	195/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	312				59					
25	25	49	49	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	313		articStaccatoAbove							
25	25	99/2	99/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	314				60					
25	25	199/4	199/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	315				60					
25	25	48	48	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	316									
25	25	48	48	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	317									
25	25	97/2	97/2	0.0	1/8	1/8	Spanner	2/4	2	1	0												2	2
25	25	97/2	97/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	318								2	2
25	25	195/4	195/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	319								2	2
25	25	49	49	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	320		articStaccatoAbove						2	2
25	25	99/2	99/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	321								2	2
25	25	199/4	199/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	322								2	2
25	25	48	48	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	323								2	2
26	26	50	50	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	324		articStaccatoAbove							
26	26	101/2	101/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	325				61					
26	26	203/4	203/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	326				61					
26	26	51	51	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	327		articStaccatoAbove							
26	26	50	50	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	328		articStaccatoAbove						2	2
26	26	101/2	101/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	329				62				2	2
26	26	203/4	203/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	330				62				2	2
26	26	51	51	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	331		articStaccatoAbove						2	2
26	26	103/2	103/2	0.0	3/8	3/8	Spanner	2/4	2	1	0													
27	27	52	52	0.0	0	0	Dynamic	2/4	1	1	0					p								
27	27	52	52	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	332									
27	27	52	52	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	333		articStaccatoAbove							
27	27	105/2	105/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	334		articTenutoAbove							
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	335		articTenutoAbove							
27	27	52	52	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	336									
27	27	105/2	105/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	337				63					
27	27	211/4	211/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	338				63					
27	27	53	53	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	339									
27	27	107/2	107/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	340				64					
27	27	215/4	215/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	341				64					
27	27	105/2	105/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	342									
27	27	53	53	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	343									
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	344									
27	27	105/2	105/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	345									
28	28	54	54	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	346									
28	28	109/2	109/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	347		articTenutoAbove							
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	348		articTenutoAbove		65					
28	28	54	54	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	349									
28	28	109/2	109/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	350				66					
28	28	219/4	219/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	351				66					
28	28	55	55	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	352									
28	28	111/2	111/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	353				67					
28	28	223/4	223/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	354				67					
28	28	109/2	109/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	355									
28	28	55	55	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	356									
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	357									
28	28	109/2	109/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	358									
29	29	56	56	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	359									
29	29	113/2	113/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0					pp								
29	29	113/2	113/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	360				68					
29	29	227/4	227/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	361				68					
29	29	57	57	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	362		articStaccatoBelow							
29	29	115/2	115/2	0.0	3/8	3/8	StaffText	2/4	1	1	0							"<font size=""11""/><font face=""Times New Roman""/><i>rit.</i>"						
29	29	115/2	115/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	363				69					
29	29	231/4	231/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	364				69					
29	29	56	56	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	365									
29	29	56	56	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	366									
29	29	113/2	113/2	0.0	1/8	1/8	Spanner	2/4	2	1	0												3	3
29	29	113/2	113/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	367				70				3	3
29	29	227/4	227/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	368				70				3	3
29	29	57	57	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	369		articStaccatoAbove						3	3
29	29	115/2	115/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	370				71				3	3
29	29	231/4	231/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	371				71				3	3
29	29	56	56	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	372								3	3
30	30	58	58	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	373		articStaccatoAbove							
30	30	117/2	117/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	374				72					
30	30	235/4	235/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	375				72					
30	30	59	59	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	376		articStaccatoBelow							
30	30	58	58	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	377		articStaccatoBelow						3	3
30	30	117/2	117/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	378				73				3	3
30	30	235/4	235/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	379				73				3	3
30	30	59	59	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	380		articStaccatoAbove						3	3
30	30	119/2	119/2	0.0	3/8	3/8	Spanner	2/4	2	1	0													
31	31	60	60	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>a tempo</i>"						
31	31	60	60	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	381									
31	31	60	60	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	382		articTenutoBelow							
31	31	61	61	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	383									
31	31	61	61	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	384		articTenutoBelow							
32	32	62	62	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	385									
32	32	62	62	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	386		articTenutoAbove							
32	32	63	63	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	387									
32	32	63	63	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	388		articTenutoAbove							
33	33	64	64	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	389									
33	33	64	64	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	390		articAccentStaccatoAbove							
33	33	129/2	129/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	391									
33	33	65	65	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	392		articAccentStaccatoAbove							
33	33	131/2	131/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	393									
33	33	64	64	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	394									
33	33	129/2	129/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	395				74					
33	33	259/4	259/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	396				74					
33	33	65	65	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	397									
33	33	131/2	131/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	398				75					
33	33	263/4	263/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	399				75					
33	33	129/2	129/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	400									
33	33	65	65	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	401									
33	33	131/2	131/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	402									
33	33	129/2	129/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	403									
34	34	66	66	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	404									
34	34	66	66	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	405		articAccentStaccatoAbove							
34	34	133/2	133/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	406									
34	34	67	67	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	407		articAccentStaccatoAbove							
34	34	135/2	135/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	408									
34	34	66	66	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	409									
34	34	133/2	133/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	410				76					
34	34	267/4	267/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	411				76					
34	34	67	67	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	412									
34	34	135/2	135/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	413									
34	34	271/4	271/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	414									
34	34	133/2	133/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	415									
34	34	67	67	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	416									
34	34	135/2	135/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	417									
34	34	133/2	133/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	418									
35	35	68	68	0.0	0	0	Dynamic	2/4	1	1	0					fp								
35	35	68	68	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	419		articAccentAbove		77					
35	35	137/2	137/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	420		articStaccatoAbove							
35	35	69	69	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	421		articAccentAbove		78					
35	35	139/2	139/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	422		articStaccatoAbove							
35	35	68	68	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	423									
35	35	273/4	273/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	424									
35	35	137/2	137/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	425									
35	35	69	69	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	426									
35	35	277/4	277/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	427									
35	35	139/2	139/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	428									
35	35	137/2	137/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	429		articAccentAbove		79					
35	35	69	69	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	430		articStaccatoAbove							
35	35	139/2	139/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	431		articAccentAbove		80					
35	35	137/2	137/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	432									
35	35	275/4	275/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	433									
35	35	69	69	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	434									
35	35	139/2	139/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	435									
35	35	279/4	279/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	436									
36	36	70	70	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>poco rit.</i>"						
36	36	70	70	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	437		articAccentAbove		81					
36	36	141/2	141/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	438									
36	36	71	71	0.0	1/4	1/4	Dynamic	2/4	1	1	0					pp								
36	36	71	71	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	439		articTenutoAbove							
36	36	70	70	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	440				82					
36	36	281/4	281/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	441									
36	36	141/2	141/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	442		articStaccatoBelow							
36	36	283/4	283/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	443		articStaccatoBelow							
36	36	70	70	0.0	0	0	Spanner	2/4	2	1	0									3				
36	36	70	70	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	444		articStaccatoAbove			3				
36	36	141/2	141/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	445		articStaccatoBelow			3				
36	36	71	71	0.0	1/4	1/4	Spanner	2/4	2	1	0													
36	36	71	71	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	446		articTenutoBelow							
36	36	70	70	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	447									
