mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	slur	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
23	21	308/5	308/5	0.1	11/40	11/40	Chord	6/8	1	1	1/40	1/32	4/5	236					53				
23	21	617/10	617/10	0.1	3/10	3/10	Chord	6/8	1	1	1/40	1/32	4/5	237					53				
23	21	309/5	309/5	0.1	13/40	13/40	Chord	6/8	1	1	1/40	1/32	4/5	238					53				
23	21	619/10	619/10	0.1	7/20	7/20	Chord	6/8	1	1	1/40	1/32	4/5	239									
23	21	63	63	0.125	5/8	5/8	Chord	6/8	1	1	1/32	1/32	1	240					54				
23	21	505/8	505/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32	1/32	1	241					54				
23	21	253/4	253/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32	1/32	1	242					54				
23	21	507/8	507/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32	1/32	1	243					54				
23	21	121/2	121/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	244			articAccentStaccatoAbove						
23	21	123/2	123/2	0.0	1/4	1/4	Spanner	6/8	2	1	0										11	11	
23	21	62	62	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	245			articStaccatoBelow				11	11	
23	21	125/2	125/2	0.0	1/2	1/2	Spanner	6/8	2	1	0												
23	21	63	63	0.125	5/8	5/8	Chord	6/8	2	1	1/32	1/32	1	246					55				
23	21	505/8	505/8	0.125	21/32	21/32	Chord	6/8	2	1	1/32	1/32	1	247					55				
23	21	253/4	253/4	0.125	11/16	11/16	Chord	6/8	2	1	1/32	1/32	1	248					55				
23	21	507/8	507/8	0.125	23/32	23/32	Chord	6/8	2	1	1/32	1/32	1	249					55				
24	22	127/2	127/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	250			articStaccatoAbove						
24	22	129/2	129/2	0.1	1/4	1/4	Chord	6/8	1	1	1/40	1/32	4/5	251					56				
24	22	323/5	323/5	0.1	11/40	11/40	Chord	6/8	1	1	1/40	1/32	4/5	252					56				
24	22	647/10	647/10	0.1	3/10	3/10	Chord	6/8	1	1	1/40	1/32	4/5	253					56				
24	22	324/5	324/5	0.1	13/40	13/40	Chord	6/8	1	1	1/40	1/32	4/5	254					56				
24	22	649/10	649/10	0.1	7/20	7/20	Chord	6/8	1	1	1/40	1/32	4/5	255									
24	22	66	66	0.125	5/8	5/8	Chord	6/8	1	1	1/32	1/32	1	256					57				
24	22	529/8	529/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32	1/32	1	257					57				
24	22	265/4	265/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32	1/32	1	258					57				
24	22	531/8	531/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32	1/32	1	259					57				
24	22	127/2	127/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	260			articStaccatoAbove						
24	22	129/2	129/2	0.0	1/4	1/4	Spanner	6/8	2	1	0										12	12	
24	22	65	65	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	261			articStaccatoBelow				12	12	
24	22	131/2	131/2	0.0	1/2	1/2	Spanner	6/8	2	1	0												
24	22	66	66	0.125	5/8	5/8	Chord	6/8	2	1	1/32	1/32	1	262					58				
24	22	529/8	529/8	0.125	21/32	21/32	Chord	6/8	2	1	1/32	1/32	1	263					58				
24	22	265/4	265/4	0.125	11/16	11/16	Chord	6/8	2	1	1/32	1/32	1	264					58				
24	22	531/8	531/8	0.125	23/32	23/32	Chord	6/8	2	1	1/32	1/32	1	265					58				
25	23	133/2	133/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	266			articAccentStaccatoAbove						
25	23	135/2	135/2	0.125	1/4	1/4	Chord	6/8	1	1	1/32	1/32	1	267					59				
25	23	541/8	541/8	0.125	9/32	9/32	Chord	6/8	1	1	1/32	1/32	1	268					59				
25	23	271/4	271/4	0.125	5/16	5/16	Chord	6/8	1	1	1/32	1/32	1	269					59				
25	23	543/8	543/8	0.125	11/32	11/32	Chord	6/8	1	1	1/32	1/32	1	270					59				
25	23	68	68	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	271			articAccentStaccatoAbove						
25	23	69	69	0.125	5/8	5/8	Chord	6/8	1	1	1/32	1/32	1	272					60				
25	23	553/8	553/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32	1/32	1	273					60				
25	23	277/4	277/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32	1/32	1	274					60				
25	23	555/8	555/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32	1/32	1	275					60				
25	23	133/2	133/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	276			articAccentStaccatoAbove						
25	23	135/2	135/2	0.125	1/4	1/4	Chord	6/8	2	1	1/32	1/32	1	277					61				
25	23	541/8	541/8	0.125	9/32	9/32	Chord	6/8	2	1	1/32	1/32	1	278					61				
25	23	271/4	271/4	0.125	5/16	5/16	Chord	6/8	2	1	1/32	1/32	1	279					61				
25	23	543/8	543/8	0.125	11/32	11/32	Chord	6/8	2	1	1/32	1/32	1	280					61				
25	23	68	68	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	281			articAccentStaccatoAbove						
25	23	69	69	0.125	5/8	5/8	Chord	6/8	2	1	1/32	1/32	1	282					62				
25	23	553/8	553/8	0.125	21/32	21/32	Chord	6/8	2	1	1/32	1/32	1	283					62				
25	23	277/4	277/4	0.125	11/16	11/16	Chord	6/8	2	1	1/32	1/32	1	284					62				
25	23	555/8	555/8	0.125	23/32	23/32	Chord	6/8	2	1	1/32	1/32	1	285					62				
26	24	139/2	139/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	286			articAccentStaccatoAbove						
26	24	141/2	141/2	0.1	1/4	1/4	Chord	6/8	1	1	1/40	1/32	4/5	287					63				
26	24	353/5	353/5	0.1	11/40	11/40	Chord	6/8	1	1	1/40	1/32	4/5	288					63				
26	24	707/10	707/10	0.1	3/10	3/10	Chord	6/8	1	1	1/40	1/32	4/5	289					63				
26	24	354/5	354/5	0.1	13/40	13/40	Chord	6/8	1	1	1/40	1/32	4/5	290					63				
26	24	709/10	709/10	0.1	7/20	7/20	Chord	6/8	1	1	1/40	1/32	4/5	291									
26	24	72	72	0.125	5/8	5/8	Chord	6/8	1	1	1/32	1/32	1	292					64				
26	24	577/8	577/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32	1/32	1	293					64				
26	24	289/4	289/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32	1/32	1	294					64				
26	24	579/8	579/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32	1/32	1	295					64				
26	24	139/2	139/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	296			articAccentStaccatoAbove						
26	24	141/2	141/2	0.0	1/4	1/4	Spanner	6/8	2	1	0										13	13	
26	24	71	71	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	297			articStaccatoBelow				13	13	
26	24	143/2	143/2	0.0	1/2	1/2	Spanner	6/8	2	1	0												
26	24	72	72	0.125	5/8	5/8	Chord	6/8	2	1	1/32	1/32	1	298					65				
26	24	577/8	577/8	0.125	21/32	21/32	Chord	6/8	2	1	1/32	1/32	1	299					65				
26	24	289/4	289/4	0.125	11/16	11/16	Chord	6/8	2	1	1/32	1/32	1	300					65				
26	24	579/8	579/8	0.125	23/32	23/32	Chord	6/8	2	1	1/32	1/32	1	301					65				
27	25	145/2	145/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	302			articAccentStaccatoAbove						
27	25	147/2	147/2	0.1	1/4	1/4	Chord	6/8	1	1	1/40	1/32	4/5	303					66				
27	25	368/5	368/5	0.1	11/40	11/40	Chord	6/8	1	1	1/40	1/32	4/5	304					66				
27	25	737/10	737/10	0.1	3/10	3/10	Chord	6/8	1	1	1/40	1/32	4/5	305					66				
27	25	369/5	369/5	0.1	13/40	13/40	Chord	6/8	1	1	1/40	1/32	4/5	306					66				
27	25	739/10	739/10	0.1	7/20	7/20	Chord	6/8	1	1	1/40	1/32	4/5	307									
27	25	75	75	0.125	5/8	5/8	Chord	6/8	1	1	1/32	1/32	1	308					67				
27	25	601/8	601/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32	1/32	1	309					67				
27	25	301/4	301/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32	1/32	1	310					67				
27	25	603/8	603/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32	1/32	1	311					67				
27	25	145/2	145/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	312			articAccentStaccatoAbove						
27	25	147/2	147/2	0.0	1/4	1/4	Spanner	6/8	2	1	0										14	14	
27	25	74	74	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	313			articStaccatoBelow				14	14	
27	25	149/2	149/2	0.0	1/2	1/2	Spanner	6/8	2	1	0												
27	25	75	75	0.125	5/8	5/8	Chord	6/8	2	1	1/32	1/32	1	314					68				
27	25	601/8	601/8	0.125	21/32	21/32	Chord	6/8	2	1	1/32	1/32	1	315					68				
27	25	301/4	301/4	0.125	11/16	11/16	Chord	6/8	2	1	1/32	1/32	1	316					68				
27	25	603/8	603/8	0.125	23/32	23/32	Chord	6/8	2	1	1/32	1/32	1	317					68				
28	26	151/2	151/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	318			articAccentStaccatoAbove						
28	26	153/2	153/2	0.08333333333333333	1/4	1/4	Chord	6/8	1	1	1/48	1/32	2/3	319					69				
28	26	919/12	919/12	0.08333333333333333	13/48	13/48	Chord	6/8	1	1	1/48	1/32	2/3	320					69				
28	26	230/3	230/3	0.08333333333333333	7/24	7/24	Chord	6/8	1	1	1/48	1/32	2/3	321					69				
28	26	307/4	307/4	0.08333333333333333	5/16	5/16	Chord	6/8	1	1	1/48	1/32	2/3	322					69				
28	26	461/6	461/6	0.08333333333333333	1/3	1/3	Chord	6/8	1	1	1/48	1/32	2/3	323					69				
28	26	923/12	923/12	0.08333333333333333	17/48	17/48	Chord	6/8	1	1	1/48	1/32	2/3	324									
28	26	311/4	311/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	325					70				
28	26	78	78	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	326			articStaccatoAbove						
28	26	151/2	151/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	327			articAccentStaccatoAbove						
28	26	153/2	153/2	0.0	1/4	1/4	Spanner	6/8	2	1	0										15	15	
28	26	77	77	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	328			articStaccatoBelow				15	15	
28	26	155/2	155/2	0.0	1/2	1/2	Spanner	6/8	2	1	0												
29	27	157/2	157/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	329			articStaccatoAbove						
29	27	317/4	317/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	330					71				
29	27	159/2	159/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	331			articStaccatoAbove						
29	27	80	80	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	332			articStaccatoAbove						
29	27	323/4	323/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	333					72				
29	27	81	81	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	334			articStaccatoAbove						
29	27	157/2	157/2	0.0	0	0	Spanner	6/8	2	1	0										16	16	
29	27	157/2	157/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	335			articStaccatoAbove				16	16	
29	27	80	80	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	336			articStaccatoAbove				16	16	
30	28	163/2	163/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	337			articStaccatoAbove						
30	28	165/2	165/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	338									
30	28	83	83	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	339			articStaccatoBelow						
30	28	163/2	163/2	0.0	0	0	Spanner	6/8	2	1	0												
30	28	163/2	163/2	0.0	0	0	Spanner	6/8	2	1	0										17	17	
30	28	165/2	165/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	340							17	17	
30	28	83	83	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	341			articStaccatoAbove				17	17	
31	28	84	84	0.0	0	5/8	Dynamic	6/8	2	1	0					pp							
31	28	84	84	0.0	0	5/8	Spanner	6/8	2	1	0												
31	28	84	84	0.125	0	5/8	Chord	6/8	2	1	1/32	1/32	1	342					73				
31	28	673/8	673/8	0.125	1/32	21/32	Chord	6/8	2	1	1/32	1/32	1	343					73				
31	28	337/4	337/4	0.125	1/16	11/16	Chord	6/8	2	1	1/32	1/32	1	344					73				
31	28	675/8	675/8	0.125	3/32	23/32	Chord	6/8	2	1	1/32	1/32	1	345					73				
32	29	341/4	341/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	346	pp				74				
32	29	171/2	171/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	347			articStaccatoAbove						
32	29	86	86	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	348			articAccentAbove						
32	29	169/2	169/2	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	349			articAccentBelow						
32	29	86	86	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	350									
32	29	87	87	0.125	5/8	5/8	Chord	6/8	2	1	1/32	1/32	1	351					75				
32	29	697/8	697/8	0.125	21/32	21/32	Chord	6/8	2	1	1/32	1/32	1	352					75				
32	29	349/4	349/4	0.125	11/16	11/16	Chord	6/8	2	1	1/32	1/32	1	353					75				
32	29	699/8	699/8	0.125	23/32	23/32	Chord	6/8	2	1	1/32	1/32	1	354					75				
33	30	353/4	353/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	355					76				
33	30	177/2	177/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	356			articStaccatoAbove						
33	30	89	89	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	357			articAccentAbove						
33	30	175/2	175/2	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	358			articAccentBelow						
33	30	89	89	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	359									
33	30	90	90	0.125	5/8	5/8	Chord	6/8	2	1	1/32	1/32	1	360					77				
33	30	721/8	721/8	0.125	21/32	21/32	Chord	6/8	2	1	1/32	1/32	1	361					77				
33	30	361/4	361/4	0.125	11/16	11/16	Chord	6/8	2	1	1/32	1/32	1	362					77				
33	30	723/8	723/8	0.125	23/32	23/32	Chord	6/8	2	1	1/32	1/32	1	363					77				
34	31	183/2	183/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	364			articStaccatoAbove						
34	31	93	93	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	365			articStaccatoAbove						
34	31	181/2	181/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	366			articAccentBelow						
34	31	365/4	365/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	367					78				
34	31	183/2	183/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	368			articStaccatoBelow						
34	31	92	92	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	369									
34	31	371/4	371/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	370					79				
34	31	93	93	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	371			articStaccatoBelow						
35	32	187/2	187/2	0.0	0	0	Spanner	6/8	1	1	0									0			
35	32	189/2	189/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	372			articStaccatoAbove			0			
35	32	96	96	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	373			articStaccatoAbove			0			
35	32	187/2	187/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	374									
35	32	377/4	377/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	375					80				
35	32	189/2	189/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	376			articStaccatoBelow						
35	32	95	95	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	377									
35	32	383/4	383/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	378					81				
35	32	96	96	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	379			articStaccatoBelow						
36	33	193/2	193/2	0.0	0	0	Spanner	6/8	1	1	0												
36	33	389/4	389/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	380					82				
36	33	195/2	195/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	381			articStaccatoAbove						
36	33	98	98	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	382			articStaccatoBelow						
36	33	395/4	395/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	383					83				
36	33	99	99	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	384			articStaccatoBelow						
36	33	193/2	193/2	0.0	0	0	Dynamic	6/8	2	1	0					ppp							
36	33	193/2	193/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	385									
36	33	389/4	389/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	386					84				
36	33	195/2	195/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	387			articStaccatoBelow						
36	33	98	98	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	388			articStaccatoAbove						
36	33	395/4	395/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	389					85				
36	33	99	99	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	390			articStaccatoAbove						
37	34	199/2	199/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	391			articStaccatoAbove						
37	34	401/4	401/4	0.0	3/16	3/16	StaffText	6/8	1	1	0							poco ritardando					
37	34	401/4	401/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	392					86				
37	34	201/2	201/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	393			articStaccatoBelow						
37	34	101	101	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	394			articStaccatoAbove						
37	34	407/4	407/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	395					87				
37	34	102	102	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	396			articStaccatoAbove						
37	34	199/2	199/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	397			articStaccatoAbove						
37	34	401/4	401/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	398					88				
37	34	201/2	201/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	399			articStaccatoAbove						
37	34	101	101	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	400			articStaccatoBelow						
37	34	407/4	407/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	401					89				
37	34	102	102	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	402			articStaccatoBelow						
38	35	205/2	205/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	403			articStaccatoAbove						
38	35	104	104	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	404			articStaccatoAbove						
38	35	205/2	205/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	405			articStaccatoAbove						
38	35	104	104	0.0	3/8	3/8	Spanner	6/8	2	1	0										18	18	
38	35	104	104	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	406			articStaccatoBelow				18	18	
39	36	211/2	211/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	407			articStaccatoAbove						
39	36	211/2	211/2	0.0	0	0	Spanner	6/8	2	1	0												
39	36	211/2	211/2	0.0	0	0	Spanner	6/8	2	1	0										19	19	
39	36	211/2	211/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	408			articStaccatoBelow				19	19	
39	36	107	107	0.0	3/8	3/8	Spanner	6/8	2	1	0												
