mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
33	33	96	96	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	252												
33	33	98	98	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	253												
34	34	99	99	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	254												
34	34	99	99	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	255												
34	34	99	99	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	256												
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	257												
35	35	102	102	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	258												
35	35	104	104	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	259		articAccentBelow										
35	35	102	102	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	260												
35	35	104	104	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	261												
35	35	313/3	313/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	262												
35	35	314/3	314/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	263												
35	35	102	102	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	264												
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	265												
36	36	105	105	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	266												
36	36	106	106	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	267		articAccentBelow										
36	36	105	105	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	268												
36	36	107	107	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	269												
36	36	322/3	322/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	270												
36	36	323/3	323/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	271												
36	36	105	105	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	272												
36	36	107	107	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	273												
37	37	108	108	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	274												
37	37	109	109	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	275		articAccentBelow										
37	37	108	108	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	276												
37	37	110	110	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	277												
37	37	331/3	331/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	278												
37	37	332/3	332/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	279												
37	37	108	108	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	280												
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	281												
38	38	111	111	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	282												
38	38	112	112	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	283		articAccentBelow										
38	38	111	111	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	284												
38	38	113	113	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	285												
38	38	340/3	340/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	286												
38	38	341/3	341/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	287												
38	38	111	111	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	288												
38	38	113	113	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	289												
39	39	114	114	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	290												
39	39	115	115	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	291		articAccentBelow										
39	39	114	114	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	292												
39	39	116	116	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	293												
39	39	349/3	349/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	294												
39	39	350/3	350/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	295												
39	39	114	114	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	296												
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	297												
40	40	117	117	0.0	0	0	Dynamic	3/4	2	1	0					pp											
40	40	117	117	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	298									19			
41	41	120	120	0.0	0	0	StaffText	3/4	2	1	0							24.03.05									
41	41	120	120	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	299												
