mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	240		articStaccatoBelow										
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	241		articTenutoAccentAbove										
27	27	78	78	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	242		articStaccatoAbove										
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	243		articStaccatoAbove										
27	27	79	79	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	244		articStaccatoAbove										
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	245		articStaccatoAbove										
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	246		articTenutoAccentAbove										
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	247		articStaccatoBelow										
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	248		articStaccatoBelow										
28	28	82	82	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	249		articStaccatoBelow										
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	250		articStaccatoBelow										
28	28	83	83	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	251		articTenutoAccentBelow										
28	28	81	81	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	252		articStaccatoAbove										
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	253		articStaccatoAbove										
28	28	82	82	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	254		articStaccatoAbove										
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	255		articStaccatoAbove										
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	256		articTenutoAccentBelow										
29	29	84	84	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>un poco stretto</i>"									
29	29	84	84	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	257		articStaccatoBelow										
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	258		articStaccatoBelow										
29	29	85	85	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	259		articStaccatoBelow										
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	260		articStaccatoBelow										
29	29	86	86	0.0	1/2	1/2	Spanner	3/4	1	1	0																0
29	29	86	86	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	261		articStaccatoBelow										0
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	262		articStaccatoBelow										0
29	29	84	84	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	263		articStaccatoAbove										
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	264		articStaccatoAbove										
29	29	85	85	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	265		articStaccatoAbove										
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	266		articStaccatoAbove										
29	29	86	86	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	267		articStaccatoAbove										
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	268		articStaccatoAbove										
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	269		articStaccatoBelow										0
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	270		articStaccatoBelow										0
30	30	88	88	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	271		articStaccatoBelow										0
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	272		articStaccatoBelow										0
30	30	89	89	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	273		articStaccatoBelow										0
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	274		articStaccatoBelow										0
30	30	87	87	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	275		articStaccatoAbove										
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	276		articStaccatoAbove										
30	30	88	88	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	277		articStaccatoAbove										
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	278		articStaccatoAbove										
30	30	89	89	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	279		articStaccatoAbove										
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	280		articStaccatoAbove										
31	31	90	90	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	281		articStaccatoBelow										0
31	31	181/2	181/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	282		articStaccatoBelow										0
31	31	91	91	0.0	1/4	1/4	Dynamic	3/4	1	1	0					fz											
31	31	91	91	0.0	1/4	1/4	Spanner	3/4	1	1	0																
31	31	91	91	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	283		articStaccatoBelow										
31	31	183/2	183/2	0.0	3/8	3/8	Spanner	3/4	1	1	0															0	
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	284		articStaccatoBelow									0	
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	285		articStaccatoBelow									0	
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	286		articStaccatoBelow									0	
31	31	90	90	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	287		articStaccatoAbove										
31	31	181/2	181/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	288		articStaccatoAbove										
31	31	91	91	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	289		articStaccatoAbove										
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	290		articStaccatoAbove										
31	31	92	92	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	291		articStaccatoAbove										
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	292		articStaccatoAbove										
32	32	93	93	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	293		articStaccatoBelow									0	
32	32	187/2	187/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	294		articStaccatoBelow									0	
32	32	94	94	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	295		articStaccatoBelow									0	
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	296		articStaccatoBelow									0	
32	32	95	95	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	297		articStaccatoBelow									0	
32	32	191/2	191/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	298		articStaccatoBelow									0	
32	32	93	93	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	299		articStaccatoAbove										
32	32	187/2	187/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	300		articStaccatoAbove										
32	32	94	94	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	301		articStaccatoAbove										
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	302		articStaccatoAbove										
32	32	95	95	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	303		articStaccatoAbove										
32	32	191/2	191/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	304		articStaccatoAbove										
33	33	96	96	0.0	0	0	Spanner	3/4	1	1	0																
33	33	96	96	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	305		articStaccatoAbove										
33	33	193/2	193/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	306		articStaccatoAbove										
33	33	97	97	0.0	1/4	1/4	StaffText	3/4	1	1	0							"<font size=""12""/><font face=""Times New Roman""/><i>un poco rit.</i>"									
33	33	97	97	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	307		articStaccatoAbove										
33	33	98	98	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	308		articStaccatoAbove										
33	33	96	96	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	309		articStaccatoAbove										
33	33	193/2	193/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	310		articStaccatoAbove										
33	33	97	97	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	311		articStaccatoAbove										
33	33	98	98	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	312		articStaccatoAbove										
34	34	99	99	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	313		articAccentStaccatoAbove										
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	314		articStaccatoAbove										
34	34	100	100	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	315		articStaccatoAbove										
34	34	101	101	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	316		articStaccatoAbove										
34	34	99	99	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	317		articAccentStaccatoBelow										
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	318		articStaccatoBelow										
34	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	319		articStaccatoBelow										
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	320		articStaccatoBelow										
35	35	102	102	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	321		articAccentStaccatoAbove										
35	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	322		articStaccatoAbove										
35	35	103	103	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	323		articStaccatoAbove										
35	35	104	104	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	324		articStaccatoAbove										
35	35	102	102	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	325		articAccentStaccatoAbove										
35	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	326		articStaccatoAbove										
35	35	103	103	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	327		articStaccatoAbove										
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	328		articStaccatoAbove										
36	36	105	105	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	329												
36	36	105	105	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	330												
37	37	108	108	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""13""/><font face=""Times New Roman""/><b>Tempo I.</b>"									
37	37	108	108	0.0	0	0	Dynamic	3/4	1	1	0					pp											
37	37	108	108	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	331												
37	37	108	108	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	332												
37	37	108	108	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	333		articStaccatoBelow										
37	37	217/2	217/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	334		articStaccatoBelow										
37	37	109	109	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	335		articStaccatoAbove										
37	37	110	110	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	336		articStaccatoAbove										
37	37	109	109	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	337		articStaccatoBelow										
37	37	219/2	219/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	338		articStaccatoBelow										
37	37	110	110	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	339		articStaccatoBelow										
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	340		articStaccatoAbove										
38	38	111	111	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	341		articStaccatoBelow										
38	38	112	112	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	342		articTenutoBelow										
38	38	111	111	0.0	0	0	Spanner	3/4	2	1	0													5	5		
38	38	111	111	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	343		articStaccatoAbove							5	5		
38	38	112	112	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	344		articStaccatoBelow							5	5		
38	38	113	113	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	345		articStaccatoBelow							5	5		
39	39	114	114	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	346												
39	39	114	114	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	347												
39	39	114	114	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	348		articStaccatoBelow										
39	39	229/2	229/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	349		articStaccatoBelow										
39	39	115	115	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	350		articStaccatoAbove										
39	39	116	116	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	351		articStaccatoAbove										
39	39	115	115	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	352		articStaccatoBelow										
39	39	231/2	231/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	353		articStaccatoBelow										
39	39	116	116	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	354		articStaccatoBelow										
39	39	114	114	0.0	0	0	Spanner	3/4	2	1	0																
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	355		articStaccatoAbove										
40	40	117	117	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	356												
40	40	117	117	0.0	0	0	Spanner	3/4	2	1	0													6	6		
40	40	117	117	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	357		articStaccatoAbove							6	6		
40	40	118	118	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	358		articStaccatoBelow							6	6		
40	40	119	119	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	359		articStaccatoBelow							6	6		
41	41	120	120	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	360												
41	41	120	120	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	361												
41	41	120	120	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	362		articStaccatoBelow										
41	41	241/2	241/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	363		articStaccatoBelow										
41	41	121	121	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	364		articStaccatoBelow										
41	41	122	122	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	365		articStaccatoBelow										
41	41	120	120	0.0	0	0	Spanner	3/4	2	1	0																
41	41	121	121	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	366		articStaccatoAbove										
41	41	122	122	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	367		articStaccatoAbove										
42	42	123	123	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	368												
42	42	123	123	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	369												
42	42	123	123	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	370		articStaccatoBelow										
42	42	247/2	247/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	371		articStaccatoBelow										
42	42	124	124	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	372		articStaccatoBelow										
42	42	125	125	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	373		articStaccatoBelow										
42	42	124	124	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	374		articStaccatoAbove										
42	42	125	125	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	375		articStaccatoAbove										
43	43	126	126	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	376												
43	43	126	126	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	377												
43	43	126	126	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	378		articStaccatoBelow										
43	43	253/2	253/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	379		articStaccatoBelow										
43	43	127	127	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	380		articStaccatoBelow										
43	43	128	128	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	381		articStaccatoAbove										
43	43	128	128	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	382		articStaccatoBelow										
43	43	257/2	257/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	383		articStaccatoBelow										
43	43	127	127	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	384												
43	43	128	128	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	385												
43	43	127	127	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	386		articStaccatoBelow										
43	43	255/2	255/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	387		articStaccatoBelow										
43	43	128	128	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	388		articStaccatoBelow										
44	44	129	129	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	389												
44	44	129	129	0.0	0	0	Spanner	3/4	2	1	0													7	7		
44	44	129	129	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	390		articStaccatoBelow							7	7		
44	44	130	130	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	391		articStaccatoBelow							7	7		
44	44	131	131	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	392		articStaccatoBelow							7	7		
45	45	132	132	0.0	0	0	Dynamic	3/4	1	1	0					pp											
45	45	132	132	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	393												
45	45	132	132	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	394												
45	45	132	132	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	395		articStaccatoAbove										
45	45	265/2	265/2	0.0	1/8	1/8	StaffText	3/4	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>al fine</i>"									
45	45	265/2	265/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	396		articStaccatoAbove										
45	45	133	133	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	397		articStaccatoAbove										
45	45	134	134	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	398		articStaccatoAbove										
45	45	132	132	0.0	0	0	Spanner	3/4	2	1	0																
45	45	133	133	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	399		articStaccatoBelow										
45	45	134	134	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	400		articStaccatoBelow										
46	46	135	135	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	401												
46	46	135	135	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	402												
46	46	135	135	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	403		articStaccatoAbove										
46	46	271/2	271/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	404		articStaccatoAbove										
46	46	136	136	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	405		articStaccatoAbove										
46	46	137	137	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	406		articStaccatoAbove										
46	46	136	136	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	407		articStaccatoBelow										
46	46	137	137	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	408		articStaccatoBelow										
47	47	138	138	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	409												
47	47	138	138	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	410												
47	47	138	138	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	411		articStaccatoAbove										
47	47	277/2	277/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	412		articStaccatoAbove										
47	47	139	139	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	413		articStaccatoAbove										
47	47	140	140	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	414		articStaccatoAbove										
47	47	140	140	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	415		articStaccatoBelow										
47	47	281/2	281/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	416		articStaccatoBelow										
47	47	139	139	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	417												
47	47	140	140	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	418												
47	47	139	139	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	419		articStaccatoBelow										
47	47	279/2	279/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	420		articStaccatoBelow										
47	47	140	140	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	421		articStaccatoBelow										
49	49	144	144	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	422												
49	49	144	144	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	423												
49	49	144	144	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	424		articStaccatoAbove										
49	49	289/2	289/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	425		articStaccatoAbove										
49	49	145	145	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	426		articStaccatoAbove										
49	49	146	146	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	427		articStaccatoAbove										
49	49	146	146	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	428		articStaccatoBelow										
49	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	429		articStaccatoBelow										
49	49	145	145	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	430												
49	49	146	146	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	431												
49	49	145	145	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	432		articStaccatoBelow										
49	49	291/2	291/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	433		articStaccatoBelow										
49	49	146	146	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	434		articStaccatoBelow										
51	51	150	150	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>ritard.</i>"									
51	51	150	150	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	435												
51	51	150	150	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	436												
51	51	150	150	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	437		articStaccatoBelow										
51	51	301/2	301/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	438		articStaccatoBelow										
51	51	151	151	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	439		articStaccatoBelow										
51	51	152	152	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	440		articStaccatoAbove										
51	51	152	152	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	441												
51	51	305/2	305/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	442												
51	51	151	151	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	443												
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	444												
51	51	151	151	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	445		articStaccatoBelow										
51	51	303/2	303/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	446		articStaccatoBelow										
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	447												
52	52	153	153	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	448												
52	52	153	153	0.0	0	0	Spanner	3/4	2	1	0													8	8		
52	52	153	153	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	449		articStaccatoBelow							8	8		
52	52	154	154	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	450		articStaccatoBelow							8	8		
52	52	155	155	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	451		articStaccatoBelow							8	8		
53	53	156	156	0.0	0	0	Dynamic	3/4	1	1	0					pp											
53	53	156	156	0.0	0	0	StaffText	3/4	1	1	0							con moto									
53	53	156	156	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	452												
53	53	156	156	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	453												
53	53	156	156	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	454		articStaccatoBelow										
53	53	313/2	313/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	455		articStaccatoBelow										
53	53	157	157	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	456		articStaccatoAbove										
53	53	158	158	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	457		articStaccatoAbove										
53	53	156	156	0.0	0	0	Spanner	3/4	2	1	0																
53	53	156	156	0.0	0	0	Chord	3/4	2	1	0	grace16	1/16	1	458												
53	53	156	156	0.0	0	0	Chord	3/4	2	1	0	grace16	1/16	1	459												
53	53	156	156	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	460		articStaccatoAbove										
53	53	313/2	313/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	461		articStaccatoAbove										
53	53	157	157	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	462		articStaccatoAbove										
53	53	158	158	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	463		articStaccatoAbove										
54	54	159	159	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	464		articAccentStaccatoAbove										
54	54	319/2	319/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	465		articStaccatoAbove										
54	54	160	160	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	466		articStaccatoAbove										
54	54	161	161	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	467		articStaccatoAbove										
54	54	159	159	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	468		articAccentStaccatoAbove										
54	54	319/2	319/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	469		articStaccatoAbove										
54	54	160	160	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	470		articStaccatoAbove										
54	54	161	161	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	471		articStaccatoAbove										
55	55	162	162	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	472												
55	55	162	162	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	473												
55	55	162	162	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	474		articStaccatoBelow										
55	55	325/2	325/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	475		articStaccatoBelow										
55	55	163	163	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	476		articStaccatoAbove										
55	55	164	164	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	477		articStaccatoAbove										
55	55	162	162	0.0	0	0	Chord	3/4	2	1	0	grace16	1/16	1	478												
