mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
28	27	107	107	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	270					2	2		
29	28	109	109	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	271				17				
29	28	110	110	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	272				17				
29	28	221/2	221/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	273								
29	28	109	109	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	274								
29	28	109	109	0.0	0	0	Spanner	4/4	2	1	0											
29	28	109	109	0.0	0	0	Spanner	4/4	2	1	0								3	3		
29	28	109	109	0.0	0	0	Spanner	4/4	2	1	0								3, 4	3, 4		
29	28	109	109	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	275					3, 4	3, 4		
29	28	111	111	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	276					3, 4	3, 4		
30	29	113	113	0.0	0	0	StaffText	4/4	1	1	0						"<font size=""9""/><font face=""Times New Roman""/><i>cresc. e stretto</i>"					
30	29	113	113	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	277				18				
30	29	114	114	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	278				18				
30	29	229/2	229/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	279								
30	29	113	113	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	280								
30	29	113	113	0.0	0	0	Spanner	4/4	2	1	0											
30	29	113	113	0.0	0	0	Spanner	4/4	2	1	0											
30	29	113	113	0.0	0	0	Spanner	4/4	2	1	0								5	5		
30	29	113	113	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	281					5	5		
30	29	115	115	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	282					5	5		
31	30	117	117	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	283				19				
31	30	118	118	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	284				19				
31	30	237/2	237/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	285								
31	30	117	117	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	286								
31	30	117	117	0.0	0	0	Spanner	4/4	2	1	0											
31	30	117	117	0.0	0	0	Spanner	4/4	2	1	0								6	6		
31	30	117	117	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	287					6	6		
31	30	119	119	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	288					6	6		
32	31	121	121	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	289				20				
32	31	122	122	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	290				20				
32	31	245/2	245/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	291								
32	31	121	121	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	292								
32	31	121	121	0.0	0	0	Spanner	4/4	2	1	0											
32	31	121	121	0.0	0	0	Spanner	4/4	2	1	0								7	7		
32	31	121	121	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	293					7	7		
32	31	123	123	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	294					7	7		
33	32	125	125	0.0	0	0	StaffText	4/4	1	1	0						"<font size=""10""/><font face=""Times New Roman""/><i>più cresc.</i>"					
33	32	125	125	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	295		articAccentAbove		21				
33	32	126	126	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	296				21				
33	32	253/2	253/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	297								
33	32	125	125	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	298								
33	32	125	125	0.0	0	0	Spanner	4/4	2	1	0											
33	32	125	125	0.0	0	0	Spanner	4/4	2	1	0								8	8		
33	32	125	125	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	299		articAccentBelow			8	8		
33	32	127	127	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	300		articAccentAbove			8	8		
33	32	127	127	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	301		articAccentBelow			8	8		
34	33	129	129	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	302		articAccentAbove		22				
34	33	130	130	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	303				22				
34	33	261/2	261/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	304								
34	33	129	129	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	305								
34	33	129	129	0.0	0	0	Spanner	4/4	2	1	0											
34	33	129	129	0.0	0	0	Spanner	4/4	2	1	0								9	9		
34	33	129	129	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	306		articAccentBelow			9	9		
34	33	131	131	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	307		articAccentAbove			9	9		
34	33	131	131	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	308		articAccentBelow			9	9		
35	34	133	133	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	309		articAccentAbove		23				
35	34	134	134	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	310				23				
35	34	269/2	269/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	311								
35	34	133	133	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	312								
35	34	133	133	0.0	0	0	Spanner	4/4	2	1	0											
35	34	133	133	0.0	0	0	Spanner	4/4	2	1	0								10	10		
35	34	133	133	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	313		articAccentBelow			10	10		
35	34	135	135	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	314		articAccentAbove			10	10		
35	34	135	135	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	315		articAccentBelow			10	10		
36	35	137	137	0.0	0	0	Dynamic	4/4	1	1	0				f							
36	35	137	137	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	316		articAccentAbove		24				
36	35	138	138	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	317				24				
36	35	277/2	277/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	318								
36	35	139	139	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	319		articAccentAbove						
36	35	140	140	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	320		articAccentAbove						
36	35	281/2	281/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	321		articAccentAbove						
36	35	137	137	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	322								
36	35	139	139	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	323								
36	35	137	137	0.0	0	0	Spanner	4/4	2	1	0											
36	35	137	137	0.0	0	0	Spanner	4/4	2	1	0								11	11		
36	35	137	137	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	324					11	11		
36	35	139	139	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	325					11	11		
37	36	141	141	0.0	0	0	StaffText	4/4	1	1	0						"<font size=""11""/><font face=""Times New Roman""/><i>rit.</i>"					
37	36	141	141	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	326								
37	36	143	143	0.0	1/2	1/2	Spanner	4/4	1	1	0										6	
37	36	143	143	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	327		articAccentBelow					6	
37	36	141	141	0.0	0	0	Spanner	4/4	2	1	0											
37	36	141	141	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	328		articAccentBelow						
37	36	142	142	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	329		articAccentBelow						
37	36	285/2	285/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	330		articAccentBelow						
37	36	143	143	0.0	1/2	1/2	Dynamic	4/4	2	1	0				fz							
37	36	143	143	0.0	1/2	1/2	Spanner	4/4	2	1	0								12	12		
37	36	143	143	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	331					12	12		
38	37	145	145	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	332							6	
38	37	147	147	0.0	1/2	1/2	Spanner	4/4	1	1	0											
38	37	147	147	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	333								
38	37	148	148	0.0	3/4	3/4	Dynamic	4/4	1	1	0				p							
38	37	148	148	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	334				25				
38	37	145	145	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	335								
38	37	147	147	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	336								
38	37	145	145	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	337					12	12		
38	37	147	147	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	338					12	12		
38	37	295/2	295/2	0.0	5/8	5/8	Spanner	4/4	2	1	0											
39	38	149	149	0.0	0	0	StaffText	4/4	1	1	0						a tempo	25				
39	38	149	149	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	339				25				
39	38	150	150	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	340				25				
39	38	301/2	301/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	341				25				
39	38	151	151	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	342				25				
39	38	152	152	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	343				25				
39	38	305/2	305/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	344				25				
39	38	150	150	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	345								
39	38	151	151	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	346								
39	38	150	150	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	347								
39	38	151	151	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	348								
39	38	152	152	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	349								
39	38	305/2	305/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	350								
40	39	153	153	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	351				25				
40	39	154	154	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	352				25				
40	39	155	155	0.0	1/2	1/2	Spanner	4/4	1	1	0							25				6
40	39	155	155	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	353				25				6
40	39	156	156	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	354				25				6
40	39	153	153	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	355								6
40	39	155	155	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	356								6
40	39	153	153	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	357								
40	39	154	154	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	358								
40	39	155	155	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	359								
40	39	156	156	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	360								
41	40	157	157	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	361				25				6
41	40	158	158	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	362				25				6
41	40	317/2	317/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	363				25				6
41	40	159	159	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	364				25				6
41	40	160	160	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	365				25				6
41	40	321/2	321/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	366				25				6
41	40	158	158	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	367								6
41	40	159	159	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	368								6
41	40	160	160	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	369								6
41	40	157	157	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	370								
41	40	159	159	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	371								
42	41	161	161	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	372								6
42	41	163	163	0.0	1/2	1/2	Spanner	4/4	1	1	0											
42	41	164	164	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	373				26				
42	41	161	161	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	374								
42	41	163	163	0.0	1/2	1/2	Spanner	4/4	1	2	0										7	
42	41	163	163	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	375							7	
42	41	161	161	4.0	0	0	Chord	4/4	2	1	1	1	1	376								
43	42	165	165	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	377				26				
43	42	166	166	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	378				26				
43	42	333/2	333/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	379				26				
43	42	167	167	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	380				26				
43	42	168	168	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	381				26				
43	42	337/2	337/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	382				26				
43	42	165	165	0.0	0	0	Spanner	4/4	1	2	0											
43	42	165	165	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	383								
43	42	167	167	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	384								
43	42	165	165	4.0	0	0	Chord	4/4	2	1	1	1	1	385								
43	42	165	165	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	386								
43	42	167	167	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	387								
44	43	169	169	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	388				26				
44	43	339/2	339/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	389				26				
44	43	170	170	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	390				26				
44	43	341/2	341/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	391								
44	43	171	171	0.0	1/2	1/2	StaffText	4/4	1	1	0						"<font size=""8""/><font face=""Times New Roman""/><i>poco cresc.</i>"					
44	43	171	171	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	392								
44	43	345/2	345/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	393				27				
44	43	169	169	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	394								
44	43	171	171	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	395								
44	43	169	169	4.0	0	0	Chord	4/4	2	1	1	1	1	396								
44	43	169	169	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	397								
44	43	171	171	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	398								
45	44	173	173	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	399				27				
45	44	174	174	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	400				27				
45	44	349/2	349/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	401				27				
45	44	175	175	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	402				27				
45	44	176	176	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	403				27				
45	44	353/2	353/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	404				27				
45	44	173	173	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	405								
45	44	175	175	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	406								
45	44	173	173	4.0	0	0	Chord	4/4	2	1	1	1	1	407								
45	44	173	173	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	408								
45	44	175	175	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	409								
46	45	177	177	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	410				27				
46	45	355/2	355/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	411				27				
46	45	178	178	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	412				27				
46	45	357/2	357/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	413				27				
46	45	179	179	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	414								
46	45	361/2	361/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	415				28				
46	45	177	177	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	416								
46	45	179	179	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	417								
46	45	177	177	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	418								
46	45	179	179	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	419								
46	45	177	177	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	420								
46	45	179	179	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	421								
47	46	181	181	0.0	0	0	Spanner	4/4	1	1	0							28				7
47	46	181	181	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	422				28				7
47	46	182	182	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	423				28				7
47	46	365/2	365/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	424								7
47	46	183	183	0.0	1/2	1/2	Spanner	4/4	1	1	0											
47	46	183	183	0.0	1/2	1/2	Spanner	4/4	1	1	0										8	
47	46	183	183	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	425				29			8	
47	46	367/2	367/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	426							8	
47	46	184	184	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	427							8	
47	46	369/2	369/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	428							8	
47	46	181	181	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	429							8	
47	46	183	183	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	430							8	
47	46	184	184	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	431							8	
47	46	181	181	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	432								
47	46	182	182	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	433								
47	46	365/2	365/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	434								
47	46	183	183	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	435								
47	46	181	181	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	436								
47	46	183	183	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	437								
48	47	185	185	0.0	0	0	Spanner	4/4	1	1	0											
48	47	185	185	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	438								
48	47	186	186	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	439								
48	47	188	188	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	440								
48	47	185	185	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	441								
48	47	186	186	2.0	1/4	1/4	Chord	4/4	1	2	1/2	1/2	1	442								
48	47	188	188	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	443								
48	47	185	185	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	444								
48	47	186	186	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	445								
48	47	188	188	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	446								
49	48	189	189	0.0	0	0	Spanner	4/4	1	1	0											8
49	48	189	189	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	447				30				8
49	48	190	190	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	448				30				8
49	48	381/2	381/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	449								8
49	48	191	191	0.0	1/2	1/2	Spanner	4/4	1	1	0											
49	48	191	191	0.0	1/2	1/2	Spanner	4/4	1	1	0										9	
49	48	191	191	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	450				31			9	
49	48	383/2	383/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	451		articTenutoAbove					9	
49	48	192	192	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	452		articTenutoAbove					9	
49	48	385/2	385/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	453		articTenutoAbove					9	
49	48	189	189	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	454							9	
49	48	191	191	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	455							9	
49	48	189	189	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	456								
49	48	190	190	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	457								
49	48	381/2	381/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	458								
49	48	191	191	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	459								
49	48	189	189	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	460								
49	48	191	191	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	461								
50	49	193	193	0.0	0	0	Spanner	4/4	1	1	0											
50	49	193	193	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	462								
50	49	194	194	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	463								
50	49	193	193	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	464								
50	49	194	194	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	465								
51	50	197	197	0.0	0	0	Dynamic	4/4	1	1	0				pp							
51	50	197	197	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	466				32				
51	50	198	198	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	467				32				
51	50	397/2	397/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	468								
51	50	197	197	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	469								
51	50	197	197	0.0	0	0	Spanner	4/4	2	1	0								13	13		
51	50	197	197	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	470					13	13		
51	50	199	199	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	471					13	13		
52	51	201	201	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	472				33				
52	51	202	202	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	473				33				
52	51	405/2	405/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	474								
52	51	201	201	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	475								
52	51	201	201	0.0	0	0	Spanner	4/4	2	1	0											
52	51	201	201	0.0	0	0	Spanner	4/4	2	1	0								14	14		
52	51	201	201	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	476					14	14		
52	51	203	203	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	477					14	14		
53	52	205	205	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	478				34				
53	52	206	206	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	479				34				
53	52	413/2	413/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	480								
53	52	205	205	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	481								
53	52	205	205	0.0	0	0	Spanner	4/4	2	1	0											
53	52	205	205	0.0	0	0	Spanner	4/4	2	1	0								15	15		
53	52	205	205	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	482					15	15		
53	52	207	207	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	483					15	15		
54	53	209	209	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	484				35				
54	53	210	210	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	485				35				
54	53	421/2	421/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	486								
54	53	209	209	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	487								
54	53	209	209	0.0	0	0	Spanner	4/4	2	1	0											
54	53	209	209	0.0	0	0	Spanner	4/4	2	1	0								16	16		
54	53	209	209	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	488					16	16		
54	53	211	211	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	489					16	16		
55	54	213	213	0.0	0	0	StaffText	4/4	1	1	0						"<font size=""9""/><font face=""Times New Roman""/><i>cresc e stretto</i>"					
55	54	213	213	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	490				36				
55	54	214	214	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	491				36				
55	54	429/2	429/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	492								
55	54	213	213	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	493								
55	54	213	213	0.0	0	0	Spanner	4/4	2	1	0											
55	54	213	213	0.0	0	0	Spanner	4/4	2	1	0								17	17		
55	54	213	213	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	494					17	17		
55	54	215	215	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	495					17	17		
56	55	217	217	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	496				37				
56	55	218	218	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	497				37				
56	55	437/2	437/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	498								
56	55	217	217	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	499								
56	55	217	217	0.0	0	0	Spanner	4/4	2	1	0											
56	55	217	217	0.0	0	0	Spanner	4/4	2	1	0								18	18		
56	55	217	217	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	500					18	18		
56	55	219	219	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	501					18	18		
57	56	221	221	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	502				38				
57	56	222	222	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	503				38				
57	56	445/2	445/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	504								
57	56	221	221	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	505								
57	56	221	221	0.0	0	0	Spanner	4/4	2	1	0											
57	56	221	221	0.0	0	0	Spanner	4/4	2	1	0								19	19		
57	56	221	221	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	506					19	19		
57	56	223	223	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	507					19	19		
58	57	225	225	0.0	0	0	StaffText	4/4	1	1	0						"<font size=""8""/><font face=""Times New Roman""/><i>più cresc.</i>"					
58	57	225	225	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	508		articAccentAbove		39				
58	57	226	226	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	509				39				
58	57	453/2	453/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	510								
58	57	225	225	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	511								
58	57	225	225	0.0	0	0	Spanner	4/4	2	1	0											
58	57	225	225	0.0	0	0	Spanner	4/4	2	1	0								20	20		
58	57	225	225	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	512		articAccentBelow			20	20		
58	57	227	227	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	513		articAccentAbove			20	20		
58	57	227	227	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	514		articAccentBelow			20	20		
59	58	229	229	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	515		articAccentAbove		40				
59	58	230	230	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	516				40				
