mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
23	22	86	90	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	265									31		9	9		
23	22	87	91	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	266											9	9		
24	23	88	92	0.0		0	0	Dynamic	4/4	1	1	0					p													
24	23	88	92	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	267									32					
24	23	90	94	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	268														
24	23	88	92	0.0		0	0	Spanner	4/4	1	2	0																		
24	23	88	92	4.0		0	0	Chord	4/4	1	2	1		1	1	269														
24	23	89	93	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	270									33		9	9		
24	23	90	94	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	271									33		9	9		
24	23	91	95	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	272											9	9		
25	24	92	96	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	273														
26	25	96	100	0.0		0	0	Dynamic	4/4	1	1	0					ppp													
26	25	96	100	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	274									34					
26	25	98	102	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	275														
26	25	96	100	4.0		0	0	Chord	4/4	1	2	1		1	1	276														
26	25	96	100	0.0		0	0	StaffText	4/4	2	1	0							una corda											
26	25	96	100	0.0		0	0	Spanner	4/4	2	1	0																		
26	25	96	100	0.0		0	0	Spanner	4/4	2	1	0															10	10		
26	25	97	101	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	277									35		10	10		
26	25	98	102	0.0		1/2	1/2	StaffText	4/4	2	1	0							"<font size=""8""/><font face=""Times New Roman""/><i>poco rit.</i>"						35		10	10		
26	25	98	102	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	278									35		10	10		
26	25	99	103	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	279											10	10		
27	26	100	104	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	280									36					
27	26	102	106	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	281														
27	26	100	104	4.0		0	0	Chord	4/4	1	2	1		1	1	282														
27	26	101	105	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	283									37		10	10		
27	26	102	106	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	284									37		10	10		
27	26	103	107	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	285											10	10		
28	27	104	108	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	286														
28	27	104	108	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	287														
29	28	108	112	0.0		0	0	StaffText	4/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>a tempo</i>"											
29	28	108	112	0.0		0	0	Dynamic	4/4	1	1	0					p													
29	28	108	112	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	288														
29	28	217/2	225/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	289														
29	28	109	113	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	290														
29	28	219/2	227/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	291														
29	28	110	114	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	292														
29	28	111	115	0.0		3/4	3/4	StaffText	4/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>cresc.</i>"											
29	28	111	115	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	293														
29	28	223/2	231/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	294														
29	28	108	112	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	295														
29	28	109	113	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	296														
29	28	110	114	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	297														
29	28	111	115	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	298														
29	28	108	112	0.0		0	0	Spanner	4/4	2	1	0																		
29	28	108	112	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	299														
29	28	109	113	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	300														
29	28	110	114	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	301														
29	28	111	115	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	302														
29	28	108	112	4.0		0	0	Chord	4/4	2	2	1		1	1	303														
30	29	112	116	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	304														
30	29	113	117	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	305														
30	29	114	118	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	306														
30	29	112	116	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	307														
30	29	113	117	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	308														
30	29	114	118	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	309														
30	29	115	119	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	310														
30	29	112	116	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	311														
30	29	113	117	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	312														
30	29	114	118	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	313														
30	29	115	119	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	314														
30	29	112	116	4.0		0	0	Chord	4/4	2	2	1		1	1	315														
31	30	116	120	0.0		0	0	StaffText	4/4	1	1	0							molto											
31	30	116	120	0.0		0	0	Spanner	4/4	1	1	0																	0	
31	30	116	120	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	316		articTenutoAbove											0	
31	30	233/2	241/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	317		articTenutoAbove											0	
31	30	117	121	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	318		articTenutoAbove											0	
31	30	235/2	243/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	319		articTenutoAbove											0	
31	30	118	122	0.0		1/2	1/2	Dynamic	4/4	1	1	0					fz													
31	30	118	122	0.0		1/2	1/2	Spanner	4/4	1	1	0																		
31	30	118	122	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	320														
31	30	119	123	0.0		3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	321														
31	30	119	123	0.0		3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	322														
31	30	119	123	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	323														
31	30	239/2	247/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	324														
31	30	116	120	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	325														
31	30	117	121	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	326														
31	30	118	122	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	327														
31	30	119	123	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	328														
31	30	116	120	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	329														
31	30	117	121	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	330														
31	30	118	122	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	331														
31	30	119	123	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	332														
31	30	116	120	4.0		0	0	Chord	4/4	2	2	1		1	1	333														
32	31	120	124	0.0		0	0	StaffText	4/4	1	1	0							"<font size=""8""/><font face=""Times New Roman""/><i>poco rit.</i>"											
32	31	120	124	0.0		0	0	Spanner	4/4	1	1	0																		3
32	31	120	124	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	334														3
32	31	122	126	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	335														3
32	31	120	124	0.0		0	0	StaffText	4/4	1	2	0							molto											3
32	31	120	124	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	336														3
32	31	121	125	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	337														3
32	31	122	126	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	338														3
32	31	123	127	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	339														3
32	31	120	124	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	340														
32	31	121	125	2.0		1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	341		articAccentAbove							38					
32	31	123	127	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	342														
32	31	120	124	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	343														
32	31	121	125	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	344														
32	31	122	126	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	345														
33	32	124	128	0.0		0	0	StaffText	4/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>a tempo</i>"											
33	32	124	128	0.0		0	0	StaffText	4/4	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>la melodia ben ten.</i>"											
33	32	124	128	0.0		0	0	Dynamic	4/4	1	1	0					p													
33	32	124	128	0.0		0	0	Spanner	4/4	1	1	0																		
33	32	124	128	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	346									39					
33	32	125	129	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	347									39					
33	32	126	130	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	348									39					
33	32	124	128	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	349														
33	32	249/2	257/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	350														
33	32	125	129	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	351														
33	32	251/2	259/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	352														
33	32	126	130	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	353														
33	32	127	131	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	354														
33	32	255/2	263/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	355														
33	32	124	128	4.0		0	0	Chord	4/4	2	2	1		1	1	356														
34	33	128	132	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	357									39					
34	33	130	134	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	358									39					
34	33	131	135	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	359														
34	33	128	132	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	360														
34	33	129	133	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	361									40					
34	33	130	134	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	362														
34	33	128	132	4.0		0	0	Chord	4/4	2	2	1		1	1	363														
35	34	132	136	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	364									41					
35	34	134	138	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	365									41					
35	34	135	139	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	366														
35	34	132	136	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	367														
35	34	133	137	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	368									42					
35	34	134	138	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	369														
35	34	132	136	4.0		0	0	Chord	4/4	2	2	1		1	1	370														
36	35	136	140	0.0		0	0	Spanner	4/4	1	1	0																	1	
36	35	136	140	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	371									43				1	
36	35	137	141	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	372									43				1	
36	35	275/2	283/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	373													1	
36	35	138	142	0.0		1/2	1/2	Spanner	4/4	1	1	0																		
36	35	138	142	0.0		1/2	1/2	Spanner	4/4	1	1	0																		4
36	35	138	142	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	374									44					4
36	35	139	143	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	375									44					4
36	35	279/2	287/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	376														4
36	35	136	140	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	377									45					
36	35	137	141	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	378														
36	35	138	142	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	379									46					
36	35	139	143	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	380														
36	35	136	140	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	381														
36	35	138	142	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	382														
37	36	140	144	0.0		0	0	Spanner	4/4	1	1	0																		
37	36	140	144	4.0		0	0	Chord	4/4	1	1	1		1	1	383														
37	36	140	144	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	384									47					
37	36	141	145	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	385									47					
37	36	142	146	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	386									47					
37	36	143	147	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	387														
37	36	140	144	4.0		0	0	Chord	4/4	2	2	1		1	1	388														
38	37	144	148	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	389														
38	37	146	150	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	390														
38	37	144	148	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	391									48					
38	37	145	149	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	392									48					
38	37	146	150	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	393									48					
38	37	147	151	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	394														
38	37	144	148	4.0		0	0	Chord	4/4	2	2	1		1	1	395														
39	38	148	152	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	396									49					
39	38	297/2	305/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	397									49					
39	38	149	153	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	398									49					
39	38	299/2	307/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	399														
39	38	150	154	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	400														
39	38	151	155	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	401														
39	38	148	152	0.0		0	0	StaffText	4/4	2	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>dim   e  rit.</i>"											
39	38	149	153	0.0		1/4	1/4	Spanner	4/4	2	1	0															11	11		
39	38	149	153	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	402									50		11	11		
39	38	150	154	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	403									50		11	11		
39	38	151	155	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	404											11	11		
40	39	152	156	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	405														
40	39	153	157	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	406														
40	39	154	158	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	407														
40	39	152	156	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	408									51					
40	39	305/2	313/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	409									51					
40	39	153	157	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	410									51					
40	39	307/2	315/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	411														
40	39	154	158	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	412														
40	39	152	156	0.0		0	0	Spanner	4/4	2	1	0																		
40	39	153	157	0.0		1/4	1/4	StaffText	4/4	2	1	0							Ped. al fine											
40	39	153	157	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	413									52					
40	39	154	158	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	414									52					
40	39	155	159	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	415														
41	40	158	162	0.0		1/2	1/2	Dynamic	4/4	1	1	0					pp													
41	40	158	162	0.0		1/2	1/2	Spanner	4/4	1	1	0														0				
41	40	158	162	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	416										0				
41	40	159	163	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	417										0				
41	40	158	162	0.5		1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	418									53	0				
41	40	317/2	325/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	419									53	0				
41	40	159	163	0.5		3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	420									53	0				
41	40	319/2	327/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	421										0				
41	40	159	163	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	422									54					
42	41	160	164	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	423										0				
42	41	162	166	0.0		1/2	1/2	Spanner	4/4	1	1	0																		
42	41	160	164	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	424														
42	41	160	164	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	425									54					
42	41	161	165	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	426														
43	42	164	168	0.0		0	0	Dynamic	4/4	1	1	0					ppp													
43	42	164	168	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	427														
43	42	166	170	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	428														
43	42	164	168	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	429														
43	42	166	170	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	430														
44	43	168	172	4.0		0	0	Chord	4/4	1	1	1		1	1	431														
44	43	168	172	4.0		0	0	Chord	4/4	1	2	1		1	1	432														
44	43	168	172	4.0		0	0	Chord	4/4	2	1	1		1	1	433														
44	43	168	172	4.0		0	0	Chord	4/4	2	2	1		1	1	434														
