mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
45	45	132	132	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	263													
45	45	265/2	265/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	264													
45	45	133	133	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	265		articAccentBelow											
46	46	136	136	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	266													
46	46	137	137	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	267													
46	46	135	135	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	268													
46	46	136	136	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	269													
46	46	275/2	275/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	270													
47	47	138	138	0.0	0	0	Spanner	3/4	1	1	0																2	
47	47	139	139	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	271												2	
47	47	138	138	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	272		articAccentBelow											
47	47	279/2	279/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	273													
47	47	140	140	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	274		articAccentBelow											
48	48	141	141	0.0	0	0	Spanner	3/4	1	1	0																	
48	48	141	141	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	275													
48	48	143	143	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	276													
48	48	141	141	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	277													
48	48	283/2	283/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	278													
48	48	142	142	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	279		articAccentBelow											
48	48	287/2	287/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	280													
49	49	144	144	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	281									18				
49	49	289/2	289/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	282									18				
49	49	145	145	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	283									18				
49	49	291/2	291/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	284									18				
49	49	146	146	0.0	1/2	1/2	Spanner	3/4	2	1	0													18			3	
49	49	146	146	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	285									18			3	
49	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	286									18			3	
50	50	147	147	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	287													
50	50	295/2	295/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	288													
50	50	148	148	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	289													
50	50	297/2	297/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	290													
50	50	149	149	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	291													
50	50	299/2	299/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	292													
51	51	150	150	0.0	0	0	Dynamic	3/4	1	1	0					f												
51	51	150	150	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	293		articAccentAbove							19				
51	51	151	151	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	294													
51	51	152	152	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	295													
51	51	150	150	0.0	0	0	Spanner	3/4	2	1	0																	
51	51	151	151	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	296													
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	297													
52	52	153	153	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	298									19				
52	52	154	154	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	299									19				
52	52	311/2	311/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	300													
52	52	154	154	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	301													
52	52	155	155	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	302													
52	52	154	154	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	303													
52	52	155	155	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	304													
53	53	156	156	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	305									20				
53	53	313/2	313/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	306									20				
53	53	157	157	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	307		articAccentAbove							20				
53	53	157	157	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	308													
53	53	158	158	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	309													
53	53	157	157	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	310													
53	53	158	158	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	311													
54	54	159	159	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	312									20				
54	54	160	160	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	313									20				
54	54	323/2	323/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	314													
54	54	160	160	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	315													
54	54	161	161	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	316													
54	54	160	160	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	317													
54	54	161	161	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	318													
55	55	162	162	0.0	0	0	Spanner	3/4	1	1	0																4	
55	55	162	162	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	319		articAccentAbove							21			4	
55	55	327/2	327/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	320												4	
55	55	164	164	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	321		articAccentAbove							22			4	
55	55	163	163	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	322												4	
55	55	163	163	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	323													
56	56	165	165	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	324									22			4	
56	56	331/2	331/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	325												4	
56	56	166	166	0.0	1/4	1/4	Spanner	3/4	1	1	0																	
56	56	166	166	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	326		articAccentAbove							23				
56	56	335/2	335/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	327													
56	56	165	165	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	328													
56	56	167	167	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	329													
56	56	165	165	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	330													
56	56	167	167	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	331													
57	57	168	168	0.0	0	0	StaffText	3/4	1	1	0							sempre										
57	57	168	168	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	332													
57	57	169	169	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	333													
57	57	170	170	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	334													
58	58	171	171	0.0	0	0	Dynamic	3/4	1	1	0					f												
58	58	171	171	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	335													
58	58	171	171	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	336													
58	58	172	172	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	337													
58	58	173	173	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	338													
59	59	174	174	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	339									24				
59	59	349/2	349/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	340									24				
59	59	175	175	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	341									24				
59	59	351/2	351/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	342									24				
59	59	176	176	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	343									24				
59	59	353/2	353/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	344									24				
59	59	176	176	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	345													
59	59	175	175	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	346													
60	60	177	177	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	347									24				
60	60	355/2	355/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	348									24				
60	60	178	178	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	349									24				
60	60	357/2	357/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	350									24				
60	60	179	179	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	351									24				
60	60	359/2	359/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	352													
60	60	178	178	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	353													
60	60	177	177	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	354													
60	60	179	179	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	355													
61	61	180	180	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	356													
61	61	181	181	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	357													
61	61	182	182	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	358													
62	62	183	183	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	359													
62	62	183	183	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	360													
62	62	184	184	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	361													
62	62	185	185	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	362													
63	63	186	186	0.0	0	0	Dynamic	3/4	1	1	0					pp												
63	63	186	186	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	363									25				
63	63	373/2	373/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	364									25				
63	63	187	187	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	365									25				
63	63	375/2	375/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	366									25				
63	63	188	188	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	367									25				
63	63	377/2	377/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	368									25				
63	63	188	188	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	369													
63	63	187	187	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	370													
64	64	189	189	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	371									25				
64	64	379/2	379/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	372									25				
64	64	190	190	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	373									25				
64	64	381/2	381/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	374									25				
64	64	191	191	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	375									25				
64	64	383/2	383/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	376													
64	64	190	190	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	377													
64	64	189	189	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	378													
64	64	191	191	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	379													
65	65	192	192	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""10""/><i>poco tranquillo</i>"										
65	65	192	192	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	380		articAccentBelow											
65	65	193	193	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	381													
65	65	194	194	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	382													
66	66	195	195	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	383													
66	66	195	195	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	384													
66	66	196	196	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	385													
66	66	197	197	0.0	1/2	1/2	Spanner	3/4	2	1	0																5	
66	66	197	197	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	386												5	
67	67	198	198	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	387													
67	67	199	199	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	388												5	
67	67	200	200	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	389												5	
68	68	201	201	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	390													
68	68	201	201	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	391												5	
68	68	202	202	0.0	1/4	1/4	Spanner	3/4	2	1	0																	
68	68	202	202	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	392													
68	68	203	203	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	393													
69	69	204	204	0.0	0	0	Spanner	3/4	1	1	0															2		
69	69	204	204	0.0	0	0	Spanner	3/4	1	1	0														0	2		
69	69	204	204	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	394										0	2		
69	69	204	204	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	395										0	2		
69	69	204	204	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	396										0	2		
69	69	204	204	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	397										0	2		
69	69	205	205	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	398													
69	69	206	206	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	399													
70	70	207	207	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""11""/><i>ritard</i>"							0	2		
70	70	207	207	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	400										0	2		
70	70	207	207	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	401													
70	70	208	208	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	402													
70	70	209	209	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	403													
71	71	210	210	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	404										0	2		
71	71	211	211	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	405													
71	71	212	212	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	406													
72	72	213	213	0.0	0	0	Spanner	3/4	1	1	0														0			
72	72	213	213	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	407										0			
72	72	213	213	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	408										0			
72	72	213	213	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	409										0			
72	72	213	213	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	410													
72	72	214	214	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	411													
72	72	215	215	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	412													
73	73	216	216	0.0	0	0	Dynamic	3/4	1	1	0					p												
73	73	216	216	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""9""/><i>a tempo</i>"										
73	73	216	216	0.0	0	0	Spanner	3/4	1	1	0																	
73	73	216	216	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	413													
73	73	216	216	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	414		articAccentAbove							26				
73	73	216	216	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	415													
73	73	217	217	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	416													
73	73	218	218	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	417													
74	74	219	219	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	418									26				
74	74	220	220	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	419									26				
74	74	220	220	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	420									26				
74	74	220	220	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	421									26				
74	74	443/2	443/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	422									26				
74	74	219	219	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	423													
74	74	220	220	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	424													
74	74	221	221	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	425													
75	75	222	222	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	426									26				
75	75	445/2	445/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	427									26				
75	75	223	223	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	428									26				
75	75	222	222	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	429													
75	75	223	223	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	430													
75	75	224	224	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	431													
76	76	225	225	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	432									26				
76	76	226	226	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	433									26				
76	76	226	226	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	434									26				
76	76	226	226	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	435									26				
76	76	455/2	455/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	436									26				
76	76	225	225	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	437													
76	76	226	226	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	438													
76	76	227	227	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	439													
77	77	228	228	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	440									26				
77	77	457/2	457/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	441									26				
77	77	229	229	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	442									26				
77	77	228	228	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	443													
77	77	229	229	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	444													
77	77	230	230	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	445													
78	78	231	231	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""9""/><i>rubato</i>"						26				
78	78	231	231	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	446									26				
78	78	463/2	463/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	447									26				
78	78	232	232	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	448									26				
78	78	465/2	465/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	449									26				
78	78	233	233	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	450									26				
78	78	467/2	467/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	451									26				
78	78	231	231	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	452													
78	78	232	232	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	453													
78	78	233	233	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	454													
79	79	234	234	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	455									26				
79	79	234	234	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	456													
79	79	235	235	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	457													
79	79	236	236	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	458													
80	80	237	237	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	459													
80	80	237	237	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	460													
80	80	238	238	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	461													
80	80	239	239	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	462													
81	81	240	240	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""9""/><i>cresc.</i>"										
81	81	240	240	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	463													
81	81	240	240	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	464		articAccentAbove							27				
81	81	240	240	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	465													
81	81	241	241	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	466													
81	81	242	242	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	467													
82	82	243	243	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	468									27				
82	82	244	244	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	469									27				
82	82	244	244	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	470									27				
82	82	244	244	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	471									27				
82	82	491/2	491/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	472									27				
82	82	243	243	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	473													
82	82	244	244	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	474													
82	82	245	245	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	475													
83	83	246	246	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	476									27				
83	83	493/2	493/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	477									27				
83	83	247	247	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	478									27				
83	83	246	246	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	479													
83	83	247	247	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	480													
83	83	248	248	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	481													
84	84	249	249	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	482									27				
84	84	250	250	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	483									27				
84	84	250	250	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	484									27				
84	84	250	250	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	485									27				
84	84	503/2	503/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	486									27				
84	84	249	249	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	487													
84	84	250	250	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	488													
84	84	251	251	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	489													
85	85	252	252	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	490									27				
85	85	505/2	505/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	491									27				
85	85	253	253	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	492									27				
85	85	252	252	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	493													
85	85	253	253	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	494													
85	85	254	254	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	495													
86	86	255	255	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	496									27				
86	86	511/2	511/2	0.0	1/8	1/8	StaffText	3/4	1	1	0							"<font size=""9""/><i>rubato</i>"						27				
86	86	511/2	511/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	497									27				
86	86	256	256	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	498									27				
86	86	513/2	513/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	499									27				
86	86	257	257	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	500									27				
86	86	515/2	515/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	501									27				
86	86	255	255	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	502													
86	86	256	256	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	503													
86	86	257	257	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	504													
87	87	258	258	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	505									27				
87	87	258	258	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	506													
87	87	259	259	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	507													
87	87	260	260	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	508													
88	88	261	261	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	509													
88	88	261	261	0.0	0	0	Spanner	3/4	2	1	0																6	
88	88	261	261	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	510												6	
88	88	262	262	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	511												6	
88	88	263	263	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	512												6	
89	89	264	264	0.0	0	0	Dynamic	3/4	1	1	0					fz												
89	89	264	264	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	513													
89	89	264	264	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	514													
89	89	264	264	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	515		articAccentAbove							28				
89	89	264	264	0.0	0	0	Spanner	3/4	2	1	0																	
89	89	265	265	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	516													
89	89	266	266	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	517													
90	90	267	267	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	518									28				
90	90	268	268	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	519									28				
90	90	268	268	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	520									28				
90	90	268	268	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	521									28				
90	90	539/2	539/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	522									28				
90	90	267	267	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	523													
90	90	268	268	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	524													
90	90	269	269	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	525													
91	91	270	270	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	526									28				
91	91	541/2	541/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	527									28				
91	91	271	271	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	528		articAccentAbove							28				
91	91	271	271	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	529													
91	91	272	272	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	530													
92	92	273	273	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	531									28				
92	92	547/2	547/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	532									28				
92	92	274	274	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	533									28				
92	92	549/2	549/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	534									28				
92	92	275	275	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	535									28				
92	92	551/2	551/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	536													
92	92	273	273	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	537													
92	92	274	274	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	538													
92	92	275	275	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	539													
