mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>
40	40	156	156	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	255		articAccentAbove									
40	40	158	158	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	256											
41	41	160	160	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	257											
41	41	162	162	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	258											
41	41	160	160	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	259											
41	41	162	162	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	260											
42	42	164	164	4.0	0	0	Chord	2/2	1	1	1	1	1	261											
42	42	165	165	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	262		articStaccatoAbove									
42	42	166	166	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	263		articStaccatoAbove									
42	42	167	167	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	264		articStaccatoBelow									
43	43	168	168	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	265									4		
43	43	337/2	337/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	266											
43	43	169	169	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	267											
43	43	339/2	339/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	268											
43	43	170	170	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	269		articStaccatoAbove									
43	43	171	171	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	270		articStaccatoAbove									
43	43	168	168	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	271											
43	43	170	170	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	272											
43	43	171	171	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	273											
43	43	168	168	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	274											
43	43	170	170	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	275											
43	43	171	171	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	276											
43	43	168	168	0.5	0	0	Chord	2/2	2	2	1/8	1/8	1	277									5		
43	43	337/2	337/2	0.5	1/8	1/8	Chord	2/2	2	2	1/8	1/8	1	278											
43	43	169	169	0.5	1/4	1/4	Chord	2/2	2	2	1/8	1/8	1	279											
43	43	339/2	339/2	0.5	3/8	3/8	Chord	2/2	2	2	1/8	1/8	1	280											
43	43	170	170	1.0	1/2	1/2	Chord	2/2	2	2	1/4	1/4	1	281		articStaccatoBelow									
43	43	171	171	1.0	3/4	3/4	Chord	2/2	2	2	1/4	1/4	1	282		articStaccatoBelow									
44	44	172	172	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	283		articAccentBelow									
44	44	174	174	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	284											
44	44	172	172	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	285		articAccentAbove									
44	44	174	174	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	286											
45	45	176	176	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	287											
45	45	178	178	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	288											
45	45	176	176	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	289											
45	45	178	178	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	290											
46	46	180	180	4.0	0	0	Chord	2/2	1	1	1	1	1	291											
46	46	181	181	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	292		articStaccatoAbove									
46	46	182	182	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	293		articStaccatoAbove									
46	46	183	183	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	294		articStaccatoBelow									
47	47	184	184	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	295		articStaccatoBelow									
47	47	185	185	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	296		articStaccatoBelow									
47	47	186	186	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	297		articStaccatoBelow									
47	47	187	187	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	298		articStaccatoBelow									
47	47	185	185	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	299		articStaccatoAbove									
47	47	186	186	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	300		articStaccatoAbove									
47	47	187	187	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	301		articStaccatoAbove									
48	48	188	188	4.0	0	0	Chord	2/2	1	1	1	1	1	302											
48	48	189	189	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	303		articStaccatoAbove									
48	48	190	190	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	304		articStaccatoAbove									
48	48	191	191	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	305		articStaccatoBelow									
49	49	192	192	0.0	0	0	StaffText	2/2	1	1	0						"<font size=""8""/><font face=""Times New Roman""/><i>cresc.</i>"								
49	49	192	192	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	306		articStaccatoBelow									
49	49	193	193	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	307		articStaccatoBelow									
49	49	194	194	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	308		articStaccatoBelow									
49	49	195	195	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	309		articStaccatoBelow									
49	49	193	193	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	310		articStaccatoAbove									
49	49	194	194	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	311		articStaccatoAbove									
49	49	195	195	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	312		articStaccatoAbove									
50	50	196	196	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	313		articStaccatoBelow									
50	50	197	197	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	314		articStaccatoBelow									
50	50	198	198	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	315		articStaccatoBelow									
50	50	199	199	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	316		articStaccatoBelow									
50	50	197	197	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	317		articStaccatoAbove									
50	50	198	198	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	318		articStaccatoAbove									
50	50	199	199	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	319		articStaccatoAbove									
51	51	200	200	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	320		articStaccatoBelow									
51	51	201	201	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	321		articStaccatoBelow									
51	51	202	202	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	322		articStaccatoBelow									
51	51	203	203	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	323		articStaccatoBelow									
51	51	201	201	0.0	1/4	1/4	StaffText	2/2	2	1	0						"<font size=""9""/><font face=""Times New Roman""/><i>poco ritard.</i>"								
51	51	201	201	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	324		articStaccatoAbove									
51	51	202	202	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	325		articStaccatoAbove									
51	51	203	203	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	326		articStaccatoAbove									
52	52	204	204	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	327		articStaccatoBelow									
52	52	205	205	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	328		articStaccatoBelow									
52	52	206	206	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	329		articStaccatoBelow									
52	52	207	207	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	330		articStaccatoBelow									
52	52	204	204	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	331		articStaccatoAbove									
52	52	205	205	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	332		articStaccatoBelow									
52	52	206	206	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	333		articStaccatoBelow									
52	52	207	207	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	334		articStaccatoBelow									
53	53	208	208	0.0	0	0	Dynamic	2/2	1	1	0				ff										
53	53	208	208	0.0	0	0	StaffText	2/2	1	1	0						"<font size=""9""/><font face=""Times New Roman""/><i>ma   ben  ten.</i>"								
53	53	208	208	0.0	0	0	StaffText	2/2	1	1	0						"<font size=""10""/><font face=""Times New Roman""/><i>a tempo</i>"								
53	53	208	208	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	335		articAccentBelow									
53	53	210	210	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	336		articAccentBelow									
53	53	208	208	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	337		articAccentBelow									
53	53	209	209	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	338		articAccentBelow									
53	53	210	210	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	339		articAccentBelow									
53	53	211	211	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	340		articAccentBelow									
54	54	212	212	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	341		articAccentBelow									
54	54	214	214	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	342											
54	54	215	215	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	343		articAccentBelow									
54	54	212	212	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	344		articAccentBelow									
54	54	213	213	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	345		articAccentBelow									
54	54	214	214	0.0	1/2	1/2	StaffText	2/2	2	1	0						"<font size=""10""/><font face=""Times New Roman""/><i>poco  a poco ritard.</i>"								
54	54	214	214	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	346		articAccentBelow									
54	54	215	215	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	347		articAccentBelow									
55	55	216	216	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	348		articAccentAbove									
55	55	217	217	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	349		articAccentAbove									
55	55	218	218	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	350		articAccentBelow									
55	55	219	219	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	351		articAccentAbove									
55	55	439/2	439/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	352		articAccentAbove									
55	55	216	216	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	353											
55	55	219	219	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	354											
55	55	216	216	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	355		articAccentBelow									
55	55	217	217	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	356		articAccentBelow									
55	55	218	218	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	357		articAccentBelow									
55	55	219	219	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	358		articAccentBelow									
56	56	220	220	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	359		articStaccatoBelow									
56	56	221	221	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	360		articStaccatoBelow									
56	56	222	222	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	361		articAccentBelow									
56	56	220	220	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	362		articStaccatoAbove									
56	56	221	221	0.0	1/4	1/4	Spanner	2/2	2	1	0													1	1
56	56	221	221	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	363		articStaccatoAbove								1	1
56	56	222	222	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	364		articAccentAbove								1	1
56	56	224	224	0.0	1	1	Spanner	2/2	2	1	0														
