mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
18	17	66	66	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	135									
18	17	67	67	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	136									
18	17	65	65	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	137									
18	17	67	67	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	138									
19	18	69	69	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	139									
19	18	70	70	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	140									
19	18	71	71	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	141									
19	18	72	72	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	142									
19	18	69	69	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	143									
19	18	71	71	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	144									
19	18	69	69	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	145									
19	18	70	70	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	146									
19	18	71	71	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	147									
20	19	73	73	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	148									
20	19	147/2	147/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	149									
20	19	74	74	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	150									
20	19	149/2	149/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	151									
20	19	75	75	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	152									
20	19	76	76	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	153									
20	19	153/2	153/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	154									
20	19	73	73	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	155									
